UniProt_Entry	PARe.1	PARe.2	PARe.3	PARn.1	PARn.2	PARn.3	CARe.2	CARe.3	CARe.1	CARn.1	CARn.2	CARn.3	OBEe.1	OBEe.2	OBEe.3	OBEn.1	OBEn.2	OBEn.3
Q6C0U9	2.39072242733152e-06	2.38285271604493e-06	2.94416906462198e-06	5.52903692862095e-06	5.90991197223734e-06	7.32839512404417e-06	2.49273298102443e-06	2.12570795244791e-06	2.56738542228251e-06	6.24076019306448e-06	7.18540526454921e-06	5.51812506566688e-06	2.55800850168785e-06	2.34332339309605e-06	2.97317126109188e-06	8.21120078751036e-06	8.36749707915542e-06	7.9124316548113e-06
Q6C0V2	0.000265915671848559	0.000263401816472925	0.000309252366585551	0.000390743616033538	0.000309819571032534	0.000325351065863434	0.000368462220798727	0.000350360714756093	0.000310067465078071	0.000398049988464238	0.000337217849129929	0.00034777673442156	0.000273755183311327	0.000324574764063695	0.000287187506429524	0.000421292085637414	0.000395737674270991	0.000372656206760484
F2Z694	0.000793421924701996	0.000711989728810875	0.000740032472658916	0.000938204385457748	0.000541093564825317	0.000744314524723195	0.000452673626948011	0.000394772803784901	0.000471652118758114	0.000550776722831008	0.000632224759106939	0.000508052700098759	0.000889573379706663	0.000788906400985043	0.000725765039623024	0.000379396789469362	0.000676496721660799	0.000759397798162276
F2Z5Z3	0.00462241702304632	0.00423732509866737	0.00456448936166852	0.00187120564217228	0.00256588320683918	0.00241268886230922	0.0044234705423042	0.00417247019045176	0.00421875238004987	0.00203773068941128	0.00206090610379054	0.00330127087776558	0.00434777855939051	0.00378526070968752	0.00343201225918583	0.00116491579488508	0.00154307468937798	0.00162197529137246
Q6CC11	3.26038800308061e-05	3.29931193520359e-05	3.79941889842316e-05	5.58952056443541e-05	4.75252263379945e-05	5.50003254342156e-05	3.53679084315957e-05	3.58630705030611e-05	3.56724393058181e-05	5.44574660584367e-05	4.97337802261178e-05	4.43087383256882e-05	3.79267726185347e-05	3.58173241171498e-05	3.0532492142625e-05	4.84335667586013e-05	5.07318347041685e-05	5.07809868716912e-05
Q6C3Z9	0.000647941146227081	0.000707292720943062	0.000615182135703114	0.000611526826398521	0.000645528131190418	0.00049933784698705	0.000642257483529775	0.000791860405007522	0.000604293449871321	0.00056554781642619	0.00055047523682445	0.000606854374917927	0.00042635441782511	0.000480175755620392	0.000470240731605925	0.000569992189158254	0.000544787856981551	0.000541884254123114
F2Z630	7.62949617383678e-05	5.08462931301196e-05	4.7647675335307e-05	6.99186922501015e-05	8.41728342068074e-05	6.94631723025355e-05	0.000104715076323376	4.64050572796442e-05	6.005781335833e-05	9.46893712200851e-05	7.13970705436391e-05	6.93674885423107e-05	7.42750559521464e-05	8.50143730717945e-05	8.21146382177379e-05	NA	4.98234814583259e-05	6.34125749160045e-05
Q9UVF3	0.00196028847443299	0.00190678446527041	0.00171187862182548	0.00339597110092801	0.00409308480448808	0.00395740084758426	0.00163779869691026	0.00156311787793704	0.00170218100560104	0.0033782944046258	0.00350005079231067	0.00274234435805278	0.00137435104559977	0.00128570677933135	0.00124144796323038	0.0021803912164296	0.00240251366337016	0.00250580799088618
Q99148	0.00072903466492582	0.000784633091381458	0.000847991011285368	0.00064035247728937	0.000707461245501739	0.000681706874476348	0.00088423674043387	0.000936008550454104	0.000845862052235431	0.000626467967686188	0.000670513318924339	0.000814091869878232	0.00100638784637527	0.000957446372172408	0.00103524854838758	0.00059111031827038	0.000677007346701248	0.000679660917127289
F2Z678	0.000266465955923753	0.000257784017658413	0.000274334515631465	0.000261996539345339	0.000256746259681323	0.000251359215295329	0.000384886377531665	0.00040931749905418	0.000331319895192284	0.000305406408742068	0.000299231638143661	0.0003242372435596	0.000543487897661207	0.000541440826822998	0.000506392057986327	0.000343489860291601	0.000385139107005329	0.000407409227089533
Q6CH03	4.05413132586894e-05	3.05358864663811e-05	3.39755902536336e-05	NA	1.89171512328559e-05	NA	3.59935549520166e-05	4.43873489745367e-05	4.18694815239882e-05	NA	NA	3.63251196092969e-05	3.98093698982005e-05	6.09787161724095e-05	8.50193772555919e-05	NA	NA	NA
Q6CG57	0.000213684058210249	0.000133430855962458	0.000174043643587805	9.94003277566751e-05	0.000193911048140581	9.93036371634012e-05	0.000209649574713232	0.000194104029627705	0.000257074707826084	0.000120584371776481	0.000130879567692588	0.000193277981052784	0.000523405724557348	0.00051006376148485	0.00122337491596412	0.000186440325097737	0.000178848445227929	0.000129637133316222
Q6C0A1	0.000155206458023489	0.000152120775527811	0.000151349122918452	0.000124052379475862	9.33864027141182e-05	9.28620334673663e-05	0.000135375221327731	0.000143341756464931	0.000126619804411456	0.000115058937978474	0.000100971699002649	0.00011926924462551	0.000172044066394323	0.000174653335921212	0.000176811359944528	0.000120908127594448	0.000110018036803131	0.000131271920522751
Q6C0R5	9.03401243517456e-05	9.30171412118939e-05	9.31770815866582e-05	3.86204961254235e-05	5.00967487742754e-05	4.62130045954806e-05	0.000110550427473462	0.000108340911723148	7.96317036036406e-05	3.1345940142424e-05	3.53255540460989e-05	6.53887096353614e-05	7.52432632079171e-05	6.98526338722846e-05	6.46902812006203e-05	1.99247598836884e-05	2.78739222685486e-05	3.14995548516187e-05
Q6C188	2.8610104433881e-05	3.47338284412221e-05	2.51149426260943e-05	NA	NA	NA	1.87705853523367e-05	2.08581153931018e-05	1.48929616594566e-05	NA	NA	NA	1.65163193800161e-05	1.71908841133918e-05	1.5876002590389e-05	NA	NA	NA
Q6C749	9.39938652375335e-05	9.5456051946469e-05	9.84958920477421e-05	0.000139499015107807	0.000113257853984699	0.000127836140697336	8.50269599102614e-05	8.94864156256718e-05	8.34088250593186e-05	0.000115351088216278	0.000108439846847772	0.000112341134444082	8.12955116114694e-05	8.91976758418999e-05	8.5488917011848e-05	0.000121866285372953	9.44289054071262e-05	0.000106713342587513
Q6CFD4	0.000234153117620889	0.000240935937332774	0.000203737819330592	0.000324261947497012	0.000356676743003588	0.000338721473977523	0.000163841221001965	0.000162138253590968	0.000174504421972538	0.00023561657868007	0.000309579621400298	0.000232775904151331	0.000134968969946364	0.000147163677645764	0.000134613544062817	0.000193828064939839	0.00021137424293207	0.000254091940408638
Q6C8T3	0.000263402518446552	0.00023499317468598	0.000266294479672898	0.000153444823848938	0.000191841938957038	0.000185237739807715	0.00029020324449154	0.000303619523874205	0.000299213666927844	0.000140904235016711	0.000137654289022821	0.000226499462876123	0.000363008377739823	0.000428057962402331	0.00056058777733712	0.000140853438634888	0.000141297458065177	0.000143389400598111
