Entry;log2FC;adj_p_value
r_3550;NaN;NaN
r_3551;NaN;NaN
r_3552;-0.530826816540375;0.00434987488605238
r_3553;-1.51083789047286;0.010280889587919
r_3554g;0.188703425126745;0.445266948325263
r_356;NaN;NaN
r_3562g;-0.677428606768416;0.396317944362701
r_357;-1.16274071158929;0.0691339937275661
r_3570;0.735277292495086;0.000174746664221077
r_3571;0.28730878844025;0.32802942634118
r_3572;-0.368430527421788;0.112434267683059
r_3573;-0.432180831696272;0.223594528985429
r_3574;-0.840675080470739;0.000277885976253849
r_3575;0.864079402611429;0.126303273675974
r_3576;2.6635695597301;0.00186359888397946
r_3577;0.333605029620488;3.57714077073305e-12
r_3578;3.84322438154232;7.51580306718215e-25
r_3579;-0.894346612656766;2.29662070515581e-113
r_358;-Inf;0.000496247154222373
r_3580;-0.505123470965835;3.97612222681683e-29
r_3581;-0.336380963910626;0
r_3582;NaN;NaN
r_3583;NaN;NaN
r_3584;NaN;NaN
r_3585;-0.456260804415342;0.00199243891919602
r_3586;-0.456260804415342;0.00199243891919602
r_3587;-0.456260804415342;0.00199243891919602
r_3588g;-1.14551853087275;8.91897110381442e-05
r_359;NaN;NaN
r_3596;-0.380352169319402;0.00415300594722544
r_3597;-0.0161909118021624;0.956973125024128
r_3598;NaN;NaN
r_3599;-1.96908718932921;0.0257684160047739
r_36;-0.0779573812740889;0.944643389942599
r_360;NaN;NaN
r_3600;-1.71263496318878;0.0061429522287661
r_3601;0.253434892725879;0.67079271599202
r_3602;0.253434892725879;0.67079271599202
r_3603;0.366649295703715;0.346908440001534
r_3604;0.0650080022623222;0.838132629559416
r_3605;-0.706063992117066;0.179761837034174
r_3606;NaN;NaN
r_3607;NaN;NaN
r_3608;NaN;NaN
r_3609;-1.68969552659346;0.0476047375243121
r_361;-0.317164945157129;0
r_3610;NaN;NaN
r_3611;-1.32738779334545;0.125022314093418
r_3612;NaN;NaN
r_3613;NaN;NaN
r_3614;NaN;NaN
r_3615;NaN;NaN
r_3616g;-1.31749794045945;0.137671031285839
r_362;-0.317164945157129;0
r_3624g;-0.756866607044046;0.417632936080189
r_363;0.645439140701678;0.437986336476238
r_3632g;-1.39420692074217;0.0574798061694261
r_364;-0.279019238166005;0.00069684234925124
r_3640g;NaN;NaN
r_3648;-1.01653822574576;0.118822308337406
r_3649;-1.01653822574576;0.118822308337406
r_3650;-0.996947757852419;0.118822308337406
r_3651;-0.995265935853654;0.118387960437606
r_3652;-0.995265935853654;0.118387960437606
r_3653;-0.550161261293283;0.606962001869929
r_3654g;-0.126655411881196;0.870379027024601
r_366;0.106325551141024;0
r_3662;-0.736107818646828;0.248119400468206
r_3663;-0.736107818646828;0.248119400468206
r_3664;-0.743884720273626;0.246655140928545
r_3665;-1.16961427065993;0.226731724960769
r_3666;-0.745434796921921;0.243812321055699
r_3667;-0.745434796921921;0.243812321055699
r_3668;-0.362711481493688;1.36605806476268e-17
r_3669;-0.315864595075999;0
r_3670;NaN;NaN
r_3671;NaN;NaN
r_3672g;-0.36361659805043;4.87271662384747e-17
r_3678;NaN;NaN
r_3679;NaN;NaN
r_368;NaN;NaN
r_3680;NaN;NaN
r_3681;0.864079402611429;0.126303273675974
r_3682;2.6635695597301;0.00186359888397946
r_3683;-1.96908718932921;0.0257684160047739
r_3684;-1.71263496318878;0.0061429522287661
r_3685g;0.951674042357707;0.0705333658056109
r_37;NaN;NaN
r_370;NaN;NaN
r_3717;-1.54221586465912;0.0104994138252549
r_3718;-1.35443450792568;0.0210410616267053
r_3719;-1.08101641174855;2.41737408770163e-06
r_3720;-1.44317878373353;0.0240676518027472
r_3721;-0.455264490763753;0.0323793873988831
r_3722;-0.908723123604809;0.0304840803779771
r_3723;-1.78159454845945;0.0429785306383582
r_3724;-1.29775186774336;0.139412862006278
r_3725;-0.627220624569136;0.444493342942697
r_3726;-2.25039829718083;0.0170666454031577
r_3727;-1.1418817635752;2.22274197449444e-06
r_3728;-0.406562948161406;0.640327180172199
r_3729;-0.993642099484727;0.235474318284118
r_373;NaN;NaN
r_3730;-2.19347380408949;0.0499225085951524
r_3731g;-0.283372464904285;0
r_3739g;-0.510354717497021;0.000662713226598314
r_3747g;2.37389668190565;5.61139899095815e-23
r_3751g;0.616063411465451;0.445384083509082
r_3755g;-0.337814961378575;0
r_3759g;-0.360196094232453;2.66025186643372e-19
r_3765g;-0.315864595075999;0
r_3773g;-0.315864595075999;0
r_3781g;NaN;NaN
r_3789g;NaN;NaN
r_3797g;NaN;NaN
r_38;NaN;NaN
r_3805g;3.8035343467242;0.00049902410186152
r_381;NaN;NaN
r_3813g;-1.16961427065993;0.226731724960769
