"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"histone H3S10 kinase activity [GO:0035175]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"histone H3T11 kinase activity [GO:0035402]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"histone H3T6 kinase activity [GO:0035403]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"histone H2AXS139 kinase activity [GO:0035979]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"histone H3S28 kinase activity [GO:0044022]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"histone H4S1 kinase activity [GO:0044023]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"histone H2AS1 kinase activity [GO:0044024]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"histone H2BS14 kinase activity [GO:0044025]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"histone H3T3 kinase activity [GO:0072354]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"histone H2AS121 kinase activity [GO:0072371]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"Rho-dependent protein serine/threonine kinase activity [GO:0072518]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"histone H2BS36 kinase activity [GO:0140823]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"histone H3S57 kinase activity [GO:0140855]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"histone H3T45 kinase activity [GO:0140857]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"histone H2AT120 kinase activity [GO:1990244]",18,0.73883,0.9991,1,0.26117,0.0009999,0.010379,0.43973,0.053195,0.36811,3,0.75221,0.89011,0.9994,15,0.37724,0.019298,0.21737
"mitotic cell cycle [GO:0000278]",17,0.65389,0.93681,1,0.34611,0.063294,0.23464,0.58682,0.78602,1,4,0.77603,0.94701,0.9994,13,0.5286,0.57854,1
"intracellular signal transduction [GO:0035556]",28,0.77235,1,1,0.22765,9.999e-05,0.0024712,0.40299,0.0034997,0.086491,3,0.75592,0.89481,0.9994,25,0.36064,0.0014999,0.061494
"plasma membrane [GO:0005886]",185,0.70375,1,1,0.29625,9.999e-05,0.0024712,0.42809,9.999e-05,0.012974,33,0.53916,0.21408,0.9994,152,0.40398,9.999e-05,0.012811
