"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"tryptophan metabolic process [GO:0006568]",4,0.25,0.030597,0.2167,0.75,0.9711,1,1e-100,0.0081992,0.067376,3,1e-100,0.0032997,0.033272,1,1e-100,0.36996,0.84427
"aromatic amino acid family catabolic process [GO:0009074]",5,0.92382,0.92711,1,0.076179,0.072993,0.30196,0.15236,0.47225,0.92016,0,NA,NA,NA,5,0.15236,0.52785,1
"lysine biosynthetic process via aminoadipic acid [GO:0019878]",11,0.96537,0.9983,1,0.034627,0.0017998,0.022678,0.069254,0.10809,0.38545,0,NA,NA,NA,11,0.069254,0.13249,0.54843
"tyrosine biosynthetic process [GO:0006571]",7,0.94559,0.9776,1,0.054414,0.022498,0.10529,0.10883,0.29747,0.74963,0,NA,NA,NA,7,0.10883,0.35336,0.84427
"aspartate catabolic process [GO:0006533]",3,0.24525,0.043496,0.24178,0.75475,0.9571,1,0.17617,0.56154,1,2,1e-100,0.026397,0.1415,1,0.52852,0.88531,1
"biosynthetic process [GO:0009058]",6,0.33627,0.037496,0.22146,0.66373,0.9626,1,0.18204,0.57854,1,4,0.14093,0.37186,0.89991,2,0.26426,0.74213,1
"aspartate biosynthetic process [GO:0006532]",3,0.24525,0.043496,0.24178,0.75475,0.9571,1,0.17617,0.56154,1,2,1e-100,0.026397,0.1415,1,0.52852,0.88531,1
"sterol metabolic process [GO:0016125]",13,0.95191,0.9987,1,0.048094,0.0013999,0.020248,0.096189,0.16508,0.49525,0,NA,NA,NA,13,0.096189,0.21118,0.67125
"UDP-N-acetylglucosamine biosynthetic process [GO:0006048]",4,1,1,1,1e-100,0.0051995,0.042726,1e-100,0.0081992,0.067376,0,NA,NA,NA,4,1e-100,0.017798,0.176
"'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]",11,0.80373,0.88851,1,0.19627,0.11159,0.38664,0.14144,0.37546,0.8416,2,0.30946,0.69103,0.9989,9,0.1041,0.29717,0.80901
"CDP biosynthetic process [GO:0046705]",6,0.64017,0.44206,1,0.35983,0.55804,0.90923,0.2593,0.78012,1,2,0.30946,0.69103,0.9989,4,0.23422,0.73763,1
"UDP biosynthetic process [GO:0006225]",6,0.64017,0.44206,1,0.35983,0.55804,0.90923,0.2593,0.78012,1,2,0.30946,0.69103,0.9989,4,0.23422,0.73763,1
"pyrimidine-containing compound salvage [GO:0008655]",20,0.75786,0.87841,1,0.24214,0.12169,0.38664,0.39536,0.9993,1,2,0.55545,0.93171,0.9989,18,0.37758,0.9991,1
"small molecule metabolic process [GO:0044281]",4,0.99692,0.9767,1,0.0030817,0.023398,0.10529,0.0061633,0.11719,0.41016,0,NA,NA,NA,4,0.0061633,0.11109,0.49835
"allantoin catabolic process [GO:0000256]",3,9.8572e-44,0.00059994,0.016198,1,1,1,1.9714e-43,0.035796,0.16108,3,1.9714e-43,0.012899,0.08738,0,NA,NA,NA
"purine nucleobase metabolic process [GO:0006144]",6,0.33333,0.034197,0.2167,0.66667,0.9659,1,1.4247e-07,0.0071993,0.067376,4,1.4786e-43,0.0031997,0.033272,2,4.2741e-07,0.20078,0.67125
"CTP salvage [GO:0044211]",16,0.76323,0.85701,1,0.23677,0.14309,0.38903,0.3624,0.9928,1,2,0.55545,0.93171,0.9989,14,0.33482,0.988,1
"UMP salvage [GO:0044206]",16,0.76323,0.85701,1,0.23677,0.14309,0.38903,0.3624,0.9928,1,2,0.55545,0.93171,0.9989,14,0.33482,0.988,1
"proton transmembrane transport [GO:1902600]",4,0.36103,0.086391,0.4082,0.63897,0.91371,1,0.22205,0.65373,1,3,0.29607,0.69083,0.9989,1,1e-100,0.36996,0.84427
"endocytosis [GO:0006897]",4,0.81171,0.77722,1,0.18829,0.22288,0.50058,0.31208,0.83652,1,1,0.871,0.94551,0.9989,3,0.12578,0.52005,1
"intracellular iron ion homeostasis [GO:0006879]",3,0.71648,0.61844,1,0.28352,0.38166,0.75888,0.35415,0.86571,1,1,0.68067,0.86821,0.9989,2,0.19089,0.66543,1
"isoleucine biosynthetic process [GO:0009097]",13,0.92539,0.9964,1,0.074614,0.0036996,0.039785,0.087415,0.13419,0.4353,1,0.59821,0.85061,0.9989,12,0.044848,0.054495,0.28529
"L-leucine biosynthetic process [GO:0009098]",8,1,1,1,1e-100,0.00019998,0.0075592,1e-100,9.999e-05,0.0037796,0,NA,NA,NA,8,1e-100,0.00029997,0.010679
"valine biosynthetic process [GO:0009099]",10,1,1,1,1e-100,9.999e-05,0.0075592,1e-100,9.999e-05,0.0037796,0,NA,NA,NA,10,1e-100,9.999e-05,0.0088991
"GMP salvage [GO:0032263]",3,0.58096,0.33837,0.9545,0.41904,0.66173,0.99455,0.65804,0.9934,1,2,0.86498,0.9912,0.9989,1,0.24416,0.77572,1
"hypoxanthine metabolic process [GO:0046100]",3,0.58096,0.33837,0.9545,0.41904,0.66173,0.99455,0.65804,0.9934,1,2,0.86498,0.9912,0.9989,1,0.24416,0.77572,1
"IMP salvage [GO:0032264]",4,0.66804,0.48385,1,0.33196,0.51625,0.88701,0.52889,0.9829,1,2,0.86498,0.9912,0.9989,2,0.19281,0.66713,1
"XMP salvage [GO:0032265]",3,0.58096,0.33837,0.9545,0.41904,0.66173,0.99455,0.65804,0.9934,1,2,0.86498,0.9912,0.9989,1,0.24416,0.77572,1
"aspartate transmembrane transport [GO:0015810]",5,0.20919,0.010799,0.10742,0.79081,0.9893,1,0.018374,0.10779,0.38545,4,0.022968,0.15558,0.4813,1,1e-100,0.36996,0.84427
"L-glutamate transmembrane transport [GO:0015813]",5,0.20919,0.010799,0.10742,0.79081,0.9893,1,0.018374,0.10779,0.38545,4,0.022968,0.15558,0.4813,1,1e-100,0.36996,0.84427
"malate-aspartate shuttle [GO:0043490]",5,0.20919,0.010799,0.10742,0.79081,0.9893,1,0.018374,0.10779,0.38545,4,0.022968,0.15558,0.4813,1,1e-100,0.36996,0.84427
"amino acid transmembrane transport [GO:0003333]",8,0.6648,0.51185,1,0.3352,0.48825,0.86459,0.4773,0.9942,1,3,0.74253,0.9945,0.9989,5,0.31816,0.89441,1
"peroxisome organization [GO:0007031]",12,0.39479,0.017098,0.15388,0.60521,0.983,1,0.16521,0.48635,0.93796,8,0.21609,0.55424,0.9989,4,0.063445,0.31707,0.81794
"mitochondrial citrate transmembrane transport [GO:0006843]",3,0.33333,0.089291,0.41161,0.66667,0.91111,1,5.0527e-11,0.076692,0.3084,2,4.6087e-61,0.026897,0.1415,1,1.5158e-10,0.44856,0.96196
"mitochondrial genome maintenance [GO:0000002]",6,0.64889,0.46005,1,0.35111,0.54005,0.89915,0.091709,0.27307,0.69744,2,0.084238,0.44686,0.99254,4,0.095444,0.39996,0.87892
"arginine biosynthetic process [GO:0006526]",6,1,1,1,1e-100,0.00049995,0.011811,1e-100,0.00039996,0.0083992,0,NA,NA,NA,6,1e-100,0.0018998,0.042271
"arginine biosynthetic process via ornithine [GO:0042450]",3,1,1,1,1e-100,0.015898,0.081211,1e-100,0.026597,0.12261,0,NA,NA,NA,3,1e-100,0.043396,0.24216
"proline catabolic process to glutamate [GO:0010133]",3,0.96451,0.88121,1,0.03549,0.11889,0.38664,0.07098,0.37506,0.8416,0,NA,NA,NA,3,0.07098,0.39766,0.87892
"fatty acid beta-oxidation using acyl-CoA oxidase [GO:0033540]",18,0.23539,9.999e-05,0.0047245,0.76461,1,1,0.034051,0.0062994,0.067376,14,0.038816,0.0085991,0.069366,4,0.017375,0.15858,0.58808
"lipid homeostasis [GO:0055088]",18,0.23539,9.999e-05,0.0047245,0.76461,1,1,0.034051,0.0062994,0.067376,14,0.038816,0.0085991,0.069366,4,0.017375,0.15858,0.58808
"phosphate ion transmembrane transport [GO:0035435]",4,0.66064,0.47005,1,0.33936,0.53005,0.89783,0.17872,0.55234,1,1,1e-100,0.16308,0.4813,3,0.23829,0.71693,1
"phosphatidylinositol-mediated signaling [GO:0048015]",4,0.68391,0.50605,1,0.31609,0.49405,0.86459,0.55649,0.9881,1,2,0.92431,0.9973,0.9989,2,0.18867,0.65993,1
"ergosterol metabolic process [GO:0008204]",11,0.95058,0.9965,1,0.049419,0.0035996,0.039785,0.098839,0.19548,0.5684,0,NA,NA,NA,11,0.098839,0.25137,0.73352
"L-methionine salvage from methylthioadenosine [GO:0019509]",4,1,1,1,1e-100,0.0051995,0.042726,1e-100,0.0081992,0.067376,0,NA,NA,NA,4,1e-100,0.017798,0.176
"L-methionine salvage from S-adenosylmethionine [GO:0019284]",3,1,1,1,1e-100,0.015898,0.081211,1e-100,0.026597,0.12261,0,NA,NA,NA,3,1e-100,0.043396,0.24216
"purine ribonucleoside salvage [GO:0006166]",4,0.68632,0.51265,1,0.31368,0.48745,0.86459,0.12735,0.42266,0.85895,1,1.7899e-06,0.40336,0.93859,3,0.16981,0.59254,1
"AMP metabolic process [GO:0046033]",4,0.88687,0.85601,1,0.11313,0.14409,0.38903,0.22625,0.66353,1,0,NA,NA,NA,4,0.22625,0.71303,1
"phosphatidylcholine biosynthetic process [GO:0006656]",5,0.81087,0.81852,1,0.18913,0.18158,0.43999,0.021745,0.11939,0.41026,1,0.10872,0.65003,0.9989,4,1e-100,0.017798,0.176
"signal transduction [GO:0007165]",3,0.75197,0.65383,1,0.24803,0.34627,0.71135,0.49605,0.9537,1,0,NA,NA,NA,3,0.49605,0.9674,1
"ADP biosynthetic process [GO:0006172]",3,0.87274,0.77342,1,0.12726,0.22668,0.50058,0.25452,0.69803,1,0,NA,NA,NA,3,0.25452,0.75382,1
"'de novo' AMP biosynthetic process [GO:0044208]",3,1,1,1,1e-100,0.015898,0.081211,1e-100,0.026597,0.12261,0,NA,NA,NA,3,1e-100,0.043396,0.24216
"'de novo' IMP biosynthetic process [GO:0006189]",13,0.92308,0.9961,1,0.076923,0.0039996,0.039785,1e-100,9.999e-05,0.0037796,1,1e-100,0.16308,0.4813,12,1e-100,9.999e-05,0.0088991
"glycine biosynthetic process, by transamination of glyoxylate [GO:0019265]",3,0.96599,0.88341,1,0.034009,0.11679,0.38664,0.068019,0.37116,0.8416,0,NA,NA,NA,3,0.068019,0.38956,0.87775
"branched-chain amino acid biosynthetic process [GO:0009082]",4,1,1,1,1e-100,0.0051995,0.042726,1e-100,0.0081992,0.067376,0,NA,NA,NA,4,1e-100,0.017798,0.176
"nucleotide catabolic process [GO:0009166]",4,0.48676,0.19548,0.64817,0.51324,0.80462,1,0.11521,0.39756,0.8416,2,0.088719,0.45115,0.99254,2,0.1417,0.60434,1
"pyrimidine nucleobase metabolic process [GO:0006206]",4,0.48676,0.19548,0.64817,0.51324,0.80462,1,0.11521,0.39756,0.8416,2,0.088719,0.45115,0.99254,2,0.1417,0.60434,1
"coenzyme A biosynthetic process [GO:0015937]",5,1,0.9986,1,1.7495e-11,0.0014999,0.020248,3.4991e-11,0.013399,0.10129,0,NA,NA,NA,5,3.4991e-11,0.015898,0.176
"peroxisome fission [GO:0016559]",6,0.38875,0.066193,0.34752,0.61125,0.93391,1,0.28531,0.82912,1,4,0.29711,0.72823,0.9989,2,0.26172,0.73453,1
"amino acid biosynthetic process [GO:0008652]",7,1,1,1,1e-100,0.00029997,0.0094491,1e-100,0.00029997,0.0083992,0,NA,NA,NA,7,1e-100,0.00059994,0.017798
"aromatic amino acid family biosynthetic process [GO:0009073]",8,1,1,1,1e-100,0.00019998,0.0075592,1e-100,9.999e-05,0.0037796,0,NA,NA,NA,8,1e-100,0.00029997,0.010679
"glutamine metabolic process [GO:0006541]",11,0.82946,0.92661,1,0.17054,0.073493,0.30196,0.11772,0.27077,0.69744,2,0.38577,0.75872,0.9989,9,0.058159,0.13239,0.54843
"isocitrate metabolic process [GO:0006102]",3,0.66667,0.54675,1,0.33333,0.48005,0.86459,1e-100,0.026597,0.12261,1,1e-100,0.16308,0.4813,2,1e-100,0.11479,0.49835
"citrulline biosynthetic process [GO:0019240]",3,1,1,1,1e-100,0.015898,0.081211,1e-100,0.026597,0.12261,0,NA,NA,NA,3,1e-100,0.043396,0.24216
"UTP biosynthetic process [GO:0006228]",11,0.77418,0.82622,1,0.22582,0.17388,0.43242,0.25277,0.82562,1,3,0.63542,0.9829,0.9989,8,0.10928,0.33877,0.84427
"pyrimidine nucleotide biosynthetic process [GO:0006221]",4,1,1,1,1e-100,0.0051995,0.042726,1e-100,0.0081992,0.067376,0,NA,NA,NA,4,1e-100,0.017798,0.176
"'de novo' UMP biosynthetic process [GO:0044205]",5,1,1,1,1e-100,0.0009999,0.01718,1e-100,0.0013999,0.020352,0,NA,NA,NA,5,1e-100,0.0052995,0.085755
"mitotic nuclear membrane biogenesis [GO:0101026]",3,0.66667,0.51055,1,0.33333,0.49005,0.86459,7.0167e-07,0.089791,0.34634,1,1e-100,0.16308,0.4813,2,1.0525e-06,0.20798,0.67125
"homoserine biosynthetic process [GO:0009090]",3,1,1,1,1e-100,0.015898,0.081211,1e-100,0.026597,0.12261,0,NA,NA,NA,3,1e-100,0.043396,0.24216
"fatty acid elongation, monounsaturated fatty acid [GO:0034625]",7,0.83003,0.87531,1,0.16997,0.12479,0.38664,0.054232,0.13589,0.4353,1,1.3432e-36,0.26487,0.6677,6,0.063271,0.22608,0.68206
"fatty acid elongation, polyunsaturated fatty acid [GO:0034626]",7,0.83003,0.87531,1,0.16997,0.12479,0.38664,0.054232,0.13589,0.4353,1,1.3432e-36,0.26487,0.6677,6,0.063271,0.22608,0.68206
"fatty acid elongation, saturated fatty acid [GO:0019367]",7,0.83003,0.87531,1,0.16997,0.12479,0.38664,0.054232,0.13589,0.4353,1,1.3432e-36,0.26487,0.6677,6,0.063271,0.22608,0.68206
"sphingolipid biosynthetic process [GO:0030148]",17,0.85993,0.9871,1,0.14007,0.012999,0.081211,0.044837,0.017098,0.11969,2,1.3432e-36,0.064094,0.31021,15,0.050815,0.044896,0.24216
"very long-chain fatty acid biosynthetic process [GO:0042761]",24,0.85121,0.9938,1,0.14879,0.0062994,0.049608,0.047577,0.0045995,0.062094,3,1.3432e-36,0.016098,0.10252,21,0.054374,0.019898,0.18641
"fatty acid elongation [GO:0030497]",17,0.85993,0.9871,1,0.14007,0.012999,0.081211,0.044837,0.017098,0.11969,2,1.3432e-36,0.064094,0.31021,15,0.050815,0.044896,0.24216
"mitochondrion inheritance [GO:0000001]",3,0.66667,0.54675,1,0.33333,0.48005,0.86459,1e-100,0.026597,0.12261,1,1e-100,0.16308,0.4813,2,1e-100,0.11479,0.49835
