"UniProt_Entry","log2FC_OBEe_vs_PARe","adj_p_value_OBEe_vs_PARe"
"Q6C0U9",0.0290096701923818,0.894902032184355
"Q6C0V2",0.0785897743941244,0.607064962373998
"F2Z694",0.0985829871044304,0.511918689366555
"F2Z5Z3",-0.215067804563004,0.242986997227873
"Q6CC11",0.00951400467402402,0.958915475444802
"Q6C3Z9",-0.517211735240776,0.0439912820869995
"F2Z630",0.465836164774125,0.232135260941746
"Q9UVF3",-0.515962985096881,0.0482394384931631
"Q99148",0.344720810384139,0.0568786933173039
"F2Z678",0.994707730995614,0.01805059119723
"Q6CH03",0.822693974167106,0.287331130590794
"Q6CG57",2.11451268417045,0.243937567615386
"Q6C0A1",0.190737142260448,0.0142251233067302
"Q6C0R5",-0.398539053198625,0.0655842331177278
"Q6C188",-0.835155342575207,0.120469602502663
"Q6C749",-0.169754369256707,0.0893383374481252
"Q6CFD4",-0.703874665790442,0.0568786933173039
"Q6C8T3",0.821778780408223,0.169540370879813
"Q6C520",-0.55464561686548,0.0864269255449824
"Q6CFS9",-0.132183150184887,0.220484924969719
"Q6CEA5",-1.03320519257864,0.081843570943763
"Q6C9T3",-0.304175609959272,0.225668342388048
"Q6C3P1",0.549830105199805,0.304574113218531
"Q6C3V7",-0.184598722916886,0.0790231905576945
"Q6C4K6",0.284950899939996,0.237556416920522
"F2Z6J3",0.677231857536019,0.246358697888819
"F2Z6H3",0.286525700105251,0.310724981905132
"Q6CG88",-0.176762212525173,0.336564043589527
"Q6CD41",-0.110849370934662,0.452765991983534
"Q6CA53",0.219898856571467,0.313168453200828
"Q6CEE1",-0.447139239360283,0.0736045184630009
"Q6C846",0.142907492140787,0.195055708050688
"Q6C1X5",0.295000549168663,0.074187828478333
"Q6C061",0.270204681087802,0.0951484673960507
"Q6C982",-0.187326019477861,0.383521410722608
"Q6CCY2",0.0758042078259237,0.522576878059556
"Q6CI62",0.278823472912728,0.145298942386542
"Q6CFR0",-0.659802092361695,0.0597423920101885
"Q6C6M0",-0.939218092284784,0.204410990110131
"Q6C8M8",0.131580944242923,0.162474935307088
"Q6CBS9",0.198754566983631,0.657299809286396
"Q6C4Q9",-0.264044337432703,0.282353110896794
"Q6CH28",-0.310946481614172,0.283736004844304
"Q6C6N0",-0.14788601993875,0.433660351739258
"Q6C326",-0.262695521272885,0.0217147179996711
"Q6C9E6",0.632795209067004,0.0477622834394838
"Q6C8S0",0.420559257176497,0.16275034180625
"B5FVB3",-0.104463363595295,0.237350171140741
"Q6CFT7",-0.182005224559655,0.115777044812372
"B5FVB8",0.134975777159069,0.375942511756657
"Q6C253",0.496033387712636,0.135423524332429
"Q6C7D6",0.0640800943675345,0.401090143242882
"Q6C338",-0.136011951864453,0.182405905153061
"Q6C105",-0.218817406648556,0.219768568451766
"Q6C9B1",0.199007901001761,0.274626335391866
"Q36258",-0.0637890055436621,0.623884534009948
"Q6CFH9",0.52997561552357,0.0416105596367539
"Q6CAZ7",-0.311681661304448,0.0384522674323616
"Q6CB07",-0.289008690018903,0.457706305556566
"Q6CFZ3",-0.199016121657168,0.230318780239727
"Q6C379",-1.23391024665676,0.0999523145949658
"Q6CDC8",-0.274352698607117,0.223274231647287
"Q6CAV3",-0.559518157625549,0.0904936034353198
"Q6CAT8",0.217291367909518,0.196621399472164
"Q6C806",2.86733584794869,0.00416870524226073
"Q6C5R9",0.41175908786868,0.0773608669711442
"Q6CFX8",0.519081604812178,0.45684037726159
"Q6C4G2",-0.0998067928254094,0.452970221895546
"Q6C3Q8",-0.512180545084559,0.097500548919437
"Q6BZR7",-0.310031396010402,0.322313007590495
"Q6CEL5",-0.62761662545362,0.0757372893083228
"Q6CEL1",-0.396096437530113,0.0694981579708372
"Q6CEK5",-1.06040907553287,0.0401694164339668
"Q6C9G1",0.200909563319903,0.668622959634236
"A0A371BZZ3",-0.0439659674108209,0.730077244586754
"Q6C0P0",-0.335515542160928,0.0562949543213008
"Q6C2S5",-0.151034166300739,0.0226075052765797
"Q6CI80",1.85017337205296,0.027825897219702
"Q6C5A7",0.416896827238069,0.433114825913442
"Q6C5A6",0.163121630077023,0.082944563818907
"Q6C0A6",0.103636044436649,0.237393951765153
"Q6C012",-0.448933264570633,0.0816224813305852
"Q6CHF4",-0.0342211375268592,0.849161769296835
"Q6C6B0",-0.488415121624191,0.391333177411003
"Q6C8C3",0.278474105215738,0.124142334800092
"Q6C5B8",-0.00635262283666591,0.978292452847429
"Q6C111",-1.40983457772326,0.0857297258897913
"Q6CH57",-0.675786024704425,0.0376006371743321
"A0A371BYB7",0.315094499676522,0.257435954085618
"Q6CFW7",-0.13713691939517,0.522576878059556
"Q6C199",-0.416638822323151,0.0131534384827259
"Q6C800",-1.16571977227608,0.0303777125559522
"Q6C272",0.0844722378405259,0.538389850261948
"Q6C6W0",-0.242048522626599,0.76636379983518
"Q6CG45",0.123776161523612,0.760201043788712
"Q6C0V4",2.12080497719865,0.00652691545286484
"Q6CG49",-0.420486281910444,0.242031446764014
"Q6CC54",-0.165644859501275,0.0682560949949135
"Q6C390",0.569357098012345,0.0142251233067302
"Q6C365",-0.882264776178762,0.0439912820869995
"Q6C2Y0",0.308473855057319,0.294781722760571
"Q6C7I9",-0.0377718116304017,0.68280250293154
"Q6C7D4",0.00793603903639503,0.969601845048178
"Q6C7B6",0.934971594570573,0.0703800282479044
"Q6C1P3",-0.229742489862546,0.128608586525373
"Q6BZV7",1.01270368505822,0.193285051429453
"Q6BZT6",0.120586421711192,0.605571003437351
"A0A1H6PTQ1",-0.39579835914245,0.0865843155133895
"Q6CF56",0.687313899979184,0.129416785280281
"Q6CF51",-0.895314661038268,0.0794721263650082
"Q6CC80",-0.760888902206555,0.106248117547054
"Q6CFB0",0.000230466645591172,0.999043779312566
"Q6CF68",-0.305075620883624,0.213508308065396
"Q6CEE0",1.7948092596633,0.0361981350144232
"Q6CEE2",0.108199343580504,0.260810997163703
"Q6CEJ8",0.0499194905672453,0.683311489900507
"Q6C0W6",-0.221722560076582,0.22435993820924
"Q6C0R6",1.45564221049684,0.310885646631737
"Q6C573",-0.0609417466419634,0.609273555072647
"Q6C538",0.706998096616031,0.0113136892169683
"Q6CGI3",0.00368716761996708,0.930470554444636
"Q6CGI7",-0.536470631201697,0.0288918552442573
"Q6C5I9",-0.257444418810738,0.185780130968167
"Q6C5M6",0.761646177131819,0.0570641256615029
"Q6C6U0",0.0658744017071406,0.428563835808184
"A0A1D8NLC3",-0.492358589595799,0.0320315500276575
"Q6C3I4",-0.369393229935813,0.128312736403307
"A0A371CAY6",-0.266406499667753,0.124914880404477
"Q6CFQ6",0.276238838057021,0.517601864131286
"Q6CAB1",-1.95889678263472,0.430931855635725
"Q6CI12",-0.994382708798425,0.502611732416916
"Q6CI00",-0.72917909984827,0.0872153228479241
"Q6C2U5",0.00692569480493352,0.989568228566909
"Q6C828",-0.121850567051415,0.380922137354537
"Q6CB64",0.557217268071892,0.0430217224868392
"Q6C4L8",0.278463458321242,0.681555688226389
"Q6C4K8",-0.425539532810981,0.370714887968776
"Q6CFN9",-0.39183328180481,0.0545266068405424
"Q6CES8",0.491636804686808,0.16928389846372
"Q6C290",-0.560943466962795,0.207037641210217
"Q6C278",0.216969909148681,0.151375657102741
"Q6C9W4",0.567502582296061,0.0502125526604816
"Q6C0E7",-1.25242585380225,0.0354416686267359
"Q6CG05",-0.108309117740889,0.0172139986684593
"Q6CAF5",0.648629352079703,0.0689004088140665
"Q6CAH4",0.339265750428359,0.0689004088140665
"Q6C9V4",0.810541500305063,0.522576878059556
"Q6C454",-0.175013030809627,0.0732806141717036
"A0A371C630",-0.00352231658579846,0.985770650344948
"Q6C4N3",-0.530001797436933,0.356848451021254
"Q6C4W9",0.73072920432493,0.163565363227855
"Q6CBW8",0.51719910188095,0.0251407151423663
"Q6C1F2",-0.0816916040587836,0.730077244586754
"Q6C3C5",-0.152824147248479,0.183289024047515
"A0A1D8NPE3",0.410281135573223,0.0775575861119579
"Q6C184",-0.968076388788456,0.0308841678823672
"Q6C9A4",-0.240725980574733,0.124619372788628
"Q6C178",1.38452779636031,0.354144287382255
"Q6CD23",-0.797175272816072,0.0318419303528426
"Q6CE89",-0.296180737742741,0.129032549749904
"Q6CAZ9",-0.311098471363659,0.175794764543748
"Q6CE52",0.252267251349928,0.486391589108197
"Q6C1S4",-0.505290028324405,0.0828725700426124
"Q6C3S2",-0.369327930060827,0.0706928380740376
"Q6C3S3",-0.496566159314376,0.0990707112493063
"Q6C8T5",-0.153849504764948,0.502472031226586
"Q6C8N1",0.506914295402378,0.0246825964562558
"A0A1H6PXF8",0.021609675394468,0.903833623533541
"Q6CCS2",-0.578493581641271,0.0412125192860943
"Q6CAT7",-0.0465452858431481,0.35986345742245
"Q6CE73",-0.387461999764974,0.157109855115595
"A0A371C207",-0.638081243748702,0.0735400948967089
"Q6CAE0",-0.0615388360355092,0.722099477930247
"Q6CAD4",0.300495508779877,0.255426587667466
"Q6C8A0",-0.422999766850096,0.00601417327086376
"A0A371C1F1",0.101120739919237,0.663044503070361
"Q6CBN7",-0.482450960130928,0.408225814295458
"Q6CA33",-0.189273718319694,0.115934534457227
"Q6CH27",-0.448438521654099,0.0990707112493063
"Q6CHF1",-0.0667656404414689,0.654464691244848
