"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"tryptophan metabolic process [GO:0006568]",4,0.25,0.014799,0.15045,0.75,0.9864,1,1e-100,0.015798,0.082603,3,1e-100,0.022798,0.4223,1,1e-100,0.36796,0.75473
"aromatic amino acid family catabolic process [GO:0009074]",5,0.6,0.25187,0.67784,0.4,0.75292,1,1e-100,0.0051995,0.039646,2,1e-100,0.077692,0.4223,3,1e-100,0.047895,0.17462
"lysine biosynthetic process via aminoadipic acid [GO:0019878]",11,0.81818,0.80732,1,0.18182,0.19288,0.58829,1e-100,0.00019998,0.0060994,2,1e-100,0.077692,0.4223,9,1e-100,0.00019998,0.0058328
"tyrosine biosynthetic process [GO:0006571]",7,0.71429,0.47705,0.92873,0.28571,0.52435,1,1e-100,0.00059994,0.0091491,2,1e-100,0.077692,0.4223,5,1e-100,0.0079992,0.082345
"aspartate catabolic process [GO:0006533]",3,1,1,1,1e-100,0.050595,0.27695,6.8641e-19,0.09739,0.26209,0,NA,NA,NA,3,6.8641e-19,0.11899,0.38879
"biosynthetic process [GO:0009058]",6,0.66667,0.37466,0.82059,0.33333,0.62894,1,3.432e-19,0.0084992,0.059821,2,3.2034e-26,0.12179,0.51839,4,5.148e-19,0.060794,0.20861
"aspartate biosynthetic process [GO:0006532]",3,1,1,1,1e-100,0.050595,0.27695,6.8641e-19,0.09739,0.26209,0,NA,NA,NA,3,6.8641e-19,0.11899,0.38879
"sterol metabolic process [GO:0016125]",13,0.79431,0.76032,1,0.20569,0.23978,0.62684,0.38226,0.9954,0.9999,2,0.90536,0.9972,0.9993,11,0.28715,0.9741,1
"UDP-N-acetylglucosamine biosynthetic process [GO:0006048]",4,1,1,1,1e-100,0.017898,0.20451,1.6673e-77,0.020198,0.099898,0,NA,NA,NA,4,1.6673e-77,0.025897,0.16186
"'de novo' pyrimidine nucleobase biosynthetic process [GO:0006207]",11,0.79536,0.73763,1,0.20464,0.26247,0.66712,0.045647,0.088391,0.2609,2,1e-100,0.077692,0.4223,9,0.055791,0.24978,0.60709
"CDP biosynthetic process [GO:0046705]",6,0.62482,0.27337,0.70461,0.37518,0.72673,1,0.083687,0.31807,0.65223,2,1e-100,0.077692,0.4223,4,0.12553,0.59014,0.9386
"UDP biosynthetic process [GO:0006225]",6,0.62482,0.27337,0.70461,0.37518,0.72673,1,0.083687,0.31807,0.65223,2,1e-100,0.077692,0.4223,4,0.12553,0.59014,0.9386
