"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"ribosomal protein S6 kinase activity [GO:0004711]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"histone H3S10 kinase activity [GO:0035175]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"histone H3T11 kinase activity [GO:0035402]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"histone H3T6 kinase activity [GO:0035403]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"histone H2AXS139 kinase activity [GO:0035979]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"histone H3S28 kinase activity [GO:0044022]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"histone H4S1 kinase activity [GO:0044023]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"histone H2AS1 kinase activity [GO:0044024]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"histone H2BS14 kinase activity [GO:0044025]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"histone H3T3 kinase activity [GO:0072354]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"histone H2AS121 kinase activity [GO:0072371]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"Rho-dependent protein serine/threonine kinase activity [GO:0072518]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"histone H2BS36 kinase activity [GO:0140823]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"histone H3S57 kinase activity [GO:0140855]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"histone H3T45 kinase activity [GO:0140857]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"histone H2AT120 kinase activity [GO:1990244]",16,0.52452,0.78342,1,0.47548,0.21668,0.56161,0.88837,0.39036,0.8699,6,0.91653,0.72393,1,10,0.87147,0.23318,0.73949
"mitotic cell cycle [GO:0000278]",13,0.52883,0.83372,1,0.47117,0.16638,0.53197,0.92549,0.9729,0.99736,3,0.9635,0.9656,1,10,0.91409,0.91381,0.99883
"intracellular signal transduction [GO:0035556]",25,0.51417,0.56304,1,0.48583,0.43706,0.79006,0.90426,0.81412,0.98769,10,0.91576,0.77122,1,15,0.8966,0.72993,0.98981
"plasma membrane [GO:0005886]",178,0.50982,0.30757,1,0.49018,0.69253,0.94726,0.88068,0.0073993,0.20409,79,0.88771,0.022098,0.67874,99,0.87508,0.048895,0.43575
"phosphoric diester hydrolase activity [GO:0008081]",8,0.5226,0.67723,1,0.4774,0.32287,0.69609,0.91221,0.80692,0.98769,3,0.94321,0.88351,1,5,0.8936,0.58644,0.96012
"endomembrane system [GO:0012505]",58,0.49161,0.0061994,0.16512,0.50839,0.9939,1,0.89038,0.38886,0.8699,35,0.89527,0.28227,1,23,0.88295,0.40556,0.87762
"phosphoprotein phosphatase activity [GO:0004721]",21,0.5331,0.94041,1,0.4669,0.059694,0.33694,0.89615,0.59734,0.94085,4,0.90115,0.48445,1,17,0.89498,0.70883,0.98915
"protein serine/threonine phosphatase activity [GO:0004722]",18,0.53604,0.9533,1,0.46396,0.046795,0.30579,0.90906,0.86691,0.98769,4,0.95756,0.9768,1,14,0.8952,0.68853,0.98822
