Entry;log2FC;adj_p_value
r_3160g;-0.933021298908178;0.368694065588349
r_3168g;-1.42304869951829;0.0769005371406888
r_317;-1.34826595056296;0
r_3176g;-1.07503105612857;0.0628780684725833
r_318;-4.60047111629617;1.04652812535611e-08
r_3184g;-2.09668647900803;0.0186862237556572
r_319;NaN;NaN
r_3192g;0.0721803395430764;0.942991136294573
r_32;-1.31180597872278;0
r_320;NaN;NaN
r_3200g;-1.67332708361273;0.372684490170709
r_3208g;-1.48116065598789;0.00341570584899546
r_321;NaN;NaN
r_3216g;-1.65299951587227;0.17322080579653
r_322;NaN;NaN
r_3224g;-3.5819058142441;0.00225892818648913
r_323;NaN;NaN
r_3232g;-3.8834403201922;0.000511988394691202
r_3240g;NaN;NaN
r_3244g;NaN;NaN
r_3248g;NaN;NaN
r_3252;-3.73758754573364;4.54059527289968e-24
r_3253;-1.61314454776001;0.00343962512241723
r_3254;-2.66044370426933;0.00813956508137336
r_3255;-1.87987380653644;0.0395503758185598
r_3256;-2.61115150337795;0.0249649960571398
r_3257;-1.76907018595476;0.0239157629524409
r_3258;-5.40105080356672;7.03721618315351e-21
r_3259;-1.70543327130924;0.0912140957434935
r_326;-1.30856912848912;2.86344993185906e-30
r_3260;-1.67920110658083;0.0537579853356393
r_3261;-2.01369125075504;0.0415888008855775
r_3262;-2.19243993168534;0.0139538926386882
r_3263;-2.14598181732234;0.0244827746625084
r_327;-1.14706124833001;0.0549286081281895
r_329;-1.8897986609618;0.00416542008707644
r_3296g;-1.93367259292393;4.18906574637134e-08
r_33;-1.88477506460797;0.0420281046662366
r_330;-2.81701198893916;0.00170413177885444
r_3304g;NaN;NaN
r_3308g;-1.93367259292393;4.18906574637134e-08
r_331;NaN;NaN
r_3312g;-1.38607310107382;0.108104247784621
r_3316g;-1.65032475915469;0.0256604278793203
r_332;NaN;NaN
r_3324g;-4.74006315907202;0.0185032847601065
r_333;-1.39906053462206;3.16509272199905e-08
r_3332g;-3.8834403201922;0.000511988394691202
r_334;NaN;NaN
r_3340g;-3.5819058142441;0.00225892818648913
r_335;NaN;NaN
r_336u;-3.74696611794755;4.95433686239473e-60
r_336u_1;2.49458042553895;1.9649557033839e-22
r_337u;0.0962905383978074;0.305340652673469
r_337u_1;NaN;NaN
r_337u_2;NaN;NaN
r_34;NaN;NaN
r_340;-2.7112171832385;0.0118842273148807
r_341;-4.45940792966297;6.5204999779251e-05
r_342;-1.99733436305955;0.000742468159020788
r_343;-1.61411053643875;0.020297497108833
r_344;-1.34826597563889;0
r_345;NaN;NaN
r_346;NaN;NaN
r_347;NaN;NaN
r_348;NaN;NaN
r_349;-1.34826597563897;0
r_35;NaN;NaN
r_350;NaN;NaN
r_3508;-2.2899533801565;1.91581574998173e-06
r_3509;-3.44879482728963;9.6387482990272e-25
r_351;NaN;NaN
r_3510;-2.3236307933256;4.03799976728385e-19
r_3511;-2.81790069075208;3.53116734676042e-19
r_3512;1.94771649411058;1.021869498211e-09
r_3513;-2.46798284366791;2.9772624507117e-17
r_3514;-2.84676760994705;3.00901940586954e-63
r_3515;-1.08274321779143;0.0385150890161175
r_3516;-2.60298920880356;5.71464543962366e-06
r_3517;0.669225321298054;4.86150078260754e-36
r_3518;-0.351552717021808;0.333923475183929
r_3519;-1.34861351776726;0
r_352;-1.34438366454054;0
r_3520;-2.52780992112778;8.73271484235823e-294
r_3521;-2.54943859005479;5.013103271563e-10
r_3522;-1.81328253254902;7.4771157467372e-06
r_3523;-3.71944125610977;5.06522706747766e-05
r_3524;-1.35160332628669;0.183365977497644
r_3525;-1.32291087416847;0
r_3526;-1.45543118547235;0
r_3527;-2.84676760994705;3.00901940586954e-63
r_3528;-0.5643490598248;2.03882381278699e-55
