"Name","Genes (tot)","Stat (dist.dir.up)","p (dist.dir.up)","p adj (dist.dir.up)","Stat (dist.dir.dn)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]",5,0.56086,0.45695,1,0.43914,0.54315,0.89867,0.099461,0.027197,0.37261,2,0.026475,0.0080992,0.27783,3,0.14812,0.20988,0.8303
"very long-chain fatty acid biosynthetic process [GO:0042761]",5,0.52102,0.36816,1,0.47898,0.63194,0.9918,0.20279,0.21278,0.85304,2,0.056024,0.036896,0.7177,3,0.30063,0.56304,1
"poly(U) RNA binding [GO:0008266]",5,0.44892,0.23098,0.87955,0.55108,0.76912,1,0.15111,0.09949,0.63387,3,0.20746,0.24098,1,2,0.066584,0.084592,0.5842
"spliceosomal snRNP assembly [GO:0000387]",9,0.34163,0.027797,0.33056,0.65837,0.9723,1,0.41088,0.86511,1,7,0.41767,0.77252,1,2,0.38714,0.71573,1
"mRNA splicing, via spliceosome [GO:0000398]",57,0.59774,0.67373,1,0.40226,0.32637,0.67236,0.36291,0.94021,1,19,0.3376,0.51615,1,38,0.37557,0.9782,1
"spliceosomal complex [GO:0005681]",51,0.54117,0.24428,0.88255,0.45883,0.75582,1,0.43869,0.9997,1,24,0.49109,0.9947,1,27,0.39211,0.974,1
"U5 snRNP [GO:0005682]",12,0.34577,0.017298,0.24698,0.65423,0.9828,1,0.33174,0.63964,1,9,0.34885,0.56924,1,3,0.28041,0.51675,1
"U1 snRNP [GO:0005685]",16,0.50951,0.22898,0.87955,0.49049,0.77112,1,0.32295,0.59914,1,8,0.34197,0.54245,1,8,0.30393,0.59914,1
"U2 snRNP [GO:0005686]",15,0.45939,0.11299,0.66784,0.54061,0.88711,1,0.36163,0.78222,1,9,0.40034,0.75202,1,6,0.30358,0.58944,1
"U4 snRNP [GO:0005687]",7,0.37918,0.080592,0.62359,0.62082,0.91951,1,0.40039,0.81112,1,5,0.41113,0.73343,1,2,0.37355,0.69643,1
