Entry;subSystem
"AMP/ATP transporter";Transport, peroxisome
"aspartate transport";Transport, mitochondrion
"aspartate-glutamate transporter";Transport, mitochondrion
"biotin uptake";Transport, extracellular
"acetyl-CoA synthetase";Glycolysis/Gluconeogenesis
"carnithine-acetylcarnithine carrier";Transport, mitochondrion
"ceramide-2' (sphinganine:n-C24:0OH) transport";Transport, ER to Golgi
"ceramide-2' (sphinganine:n-C26:0OH) transport";Transport, ER to Golgi
"ceramide-3 (Phytosphingosine:n-C24:0OH) transport";Transport, ER to Golgi
"ceramide-3 (Phytosphingosine:n-C26:0OH) transport";Transport, ER to Golgi
"choline transport";Transport, extracellular
"citrate transport";Transport, mitochondrion
"citrate transport";Transport, mitochondrion
"citrate transport";Transport, mitochondrion
"coenzyme A transport";Transport, mitochondrion
"acetyl-CoA synthetase";Glycolysis/Gluconeogenesis
"CTP transport";Transport, mitochondrion
"CTP/CMP antiport";Transport, mitochondrion
"cytidine transport";Transport, extracellular
"cytosine transport";Transport, extracellular
"D-fructose transport";Transport, extracellular
"D-galactose transport";Transport, extracellular
"D-lactate transport";Transport, extracellular
"D-lactate transport";Transport, mitochondrion
"D-lactate/pyruvate antiport";Transport, mitochondrion
"D-mannose transport";Transport, extracellular
"acetyl-CoA synthetase nuclear";Glycolysis/Gluconeogenesis
"episterol transport";Transport, extracellular
"ergosterol transport";Transport, extracellular
"ethanolamine transport";Transport, extracellular
"acetylglutamate kinase";Arginine and proline metabolism
"fadH2 transport";Transport, mitochondrion
"acid phosphatase (secreted)";Riboflavin metabolism
"fecosterol transport";Transport, extracellular
"folic acid transport";Transport, extracellular
"GDP-mannose antiport";Transport, golgi
"glucose transport";Transport, extracellular
"glutathione transport";Transport, extracellular
"glutathione transport";Transport, vacuole
"glycero-3-phospho-1-inositol transport";Transport, extracellular
"2-methylcitrate dehydratase";Propanoate metabolism
"glycero-3-phosphocholine transport";Transport, extracellular
"glycerol transport";Transport, extracellular
"glycerol transport via channel";Transport, extracellular
"glycine transport";Transport, extracellular
"glycogen vacuolar 'transport' via autophagy";Transport, vacuole
"GTP/GDP translocase";Transport, mitochondrion
"guanine transport";Transport, extracellular
"inositol transport";Transport, extracellular
"iron (II) transport";Transport, mitochondrion
"acteylornithine transaminase";Arginine and proline metabolism
"isoamyl acetate transport";Transport, extracellular
"isopentenyl diphosphate transport";Transport, mitochondrion
"L-alanine transport";Transport, extracellular
"L-arganine transport";Transport, extracellular
"L-asparagine transport";Transport, extracellular
"L-asparagine transport";Transport, vacuole
"L-aspartate transport";Transport, vacuole
"L-aspartate transport";Transport, vacuole
"L-aspartate transport";Transport, extracellular
"L-carnitine transport";Transport, extracellular
"L-cystine transport";Transport, extracellular
"L-glutamate transport";Transport, mitochondrion
"L-glutamate transport";Transport, vacuole
"L-glutamate transport";Transport, extracellular
"L-glutamine transport";Transport, vacuole
"L-glutamine transport";Transport, vacuole
"L-glutamine transport";Transport, extracellular
"1-pyrroline-5-carboxylate dehydrogenase";Alanine, aspartate and glutamate metabolism
"acyl-CoA oxidase (decanoyl-CoA)";Fatty acid degradation
"L-histidine transport";Transport, extracellular
"L-isoleucine transport";Transport, vacuole
"L-isoleucine transport";Transport, vacuole
"L-isoleucine transport";Transport, extracellular
"L-lactate transport";Transport, mitochondrion
"L-lactate transport";Transport, extracellular
"L-leucine transport, vacuoluar";Transport, vacuole
"acyl-CoA oxidase (dodecanoyl-CoA)";Fatty acid degradation
"L-leucine transport, vacuoluar";Transport, vacuole
"L-leucine transport";Transport, extracellular
"L-lysine transport";Transport, extracellular
"L-methionine transport";Transport, extracellular
"L-phenylalanine transport";Transport, extracellular
"L-proline transport";Transport, extracellular
"L-serine transport";Transport, extracellular
"L-threonine transport";Transport, extracellular
"L-tryptophan transport";Transport, extracellular
"acyl-CoA oxidase (hexacosanoyl-CoA)";Fatty acid degradation
"L-tyrosine transport";Transport, vacuole
"L-tyrosine transport";Transport, vacuole
"L-tyrosine transport";Transport, extracellular
"L-valine transport";Transport, extracellular
"lanosterol transport";Transport, extracellular
"malate transport";Transport, mitochondrion
"NAD transport";Transport, mitochondrion
"acyl-CoA oxidase (hexadecanoyl-CoA)";Fatty acid degradation
"NAD transport";Transport, mitochondrion
"NAD transport";Transport, mitochondrion
"NAD transport";Transport, mitochondrion
"nicotinate transport";Transport, extracellular
"octadecanoate (n-C18:0) transport";Transport, peroxisome
"ornithine transport";Transport, mitochondrion
"orntithine transport";Transport, extracellular
"oxaloacetate transport";Transport, mitochondrion
"acyl-CoA oxidase (octadecanoyl-CoA)";Fatty acid degradation
"pantothenate transport";Transport, extracellular
"pentaprenyl diphosphate transport";Transport, mitochondrion
"phosphate transport";Transport, extracellular
"phosphate transport";Transport, mitochondrion
"phosphatidylinositol 4-kinase";Inositol phosphate metabolism
"phosphatidylinositol-4-phosphate 5-kinase";Inositol phosphate metabolism
"potassium transport";Transport, extracellular
"acyl-CoA oxidase (tetradecanoyl-CoA)";Fatty acid degradation
"putrescine transport";Transport, extracellular
"putrescine transport";Transport, vacuole
"pyruvate transport";Transport, extracellular
"S-adenosyl-L-methionine transport";Transport, extracellular
"S-adenosyl-L-methionine transport";Transport, mitochondrion
"S-methylmethionine permease";Transport, extracellular
"sodium proton antiporter";Transport, extracellular
"acyl-CoA:sterol acyltransferase (oleoyl-CoA:episterol), ER membrane";Steroid biosynthesis
"spermidine transport";Transport, extracellular
"spermidine transport";Transport, vacuole
"spermine transport";Transport, extracellular
"spermine transport";Transport, vacuole
"succinate transport";Transport, mitochondrion
"succinate-fumarate transport";Transport, mitochondrion
"sulfate uniport";Transport, extracellular
"sulfite transport";Transport, extracellular
"taurine transport";Transport, extracellular
"thiamine diphosphate transport";Transport, mitochondrion
"acyl-CoA:sterol acyltransferase (oleoyl-CoA:ergosterol), ER membrane";Steroid biosynthesis
"thiamine transport";Transport, extracellular
"uracil transport";Transport, extracellular
"urea transport";Transport, extracellular
"uridine transport";Transport, extracellular
"UTP transport";Transport, mitochondrion
"UTP/UMP antiport";Transport, mitochondrion
"water diffusion";Transport, extracellular
"acyl-CoA:sterol acyltransferase (oleoyl-CoA:fecosterol), ER membrane";Steroid biosynthesis
"acyl-CoA:sterol acyltransferase (oleoyl-CoA:lanosterol), ER membrane";Steroid biosynthesis
"2,3-diketo-5-methylthio-1-phosphopentane degradation reaction";Cysteine and methionine metabolism
"acyl-CoA:sterol acyltransferase (oleoyl-CoA:zymosterol), ER membrane";Steroid biosynthesis
"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:episterol), ER membrane";Steroid biosynthesis
"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:ergosterol), ER membrane";Steroid biosynthesis
"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:fecosterol), ER membrane";Steroid biosynthesis
"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:lanosterol), ER membrane";Steroid biosynthesis
"acyl-CoA:sterol acyltransferase (palmitoleoyl-CoA:zymosterol), ER membrane";Steroid biosynthesis
"acylation of GPI inositol at 2 position, GPI-anchor assembly, step 3";Glycosylphosphatidylinositol (GPI)-anchor biosynthesis
"adenine phosphoribosyltransferase";Purine metabolism
"2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase";Riboflavin metabolism
"adenosine kinase";Purine metabolism
"adenosine monophosphate deaminase";Purine metabolism
"adenosylhomocysteinase";Cysteine and methionine metabolism
"adenosylmethionine decarboxylase";Cysteine and methionine metabolism
"adenosylmethionine-8-amino-7-oxononanoate transaminase";Purine metabolism
"adenylate cyclase";Purine metabolism
"adenylate kinase";Purine metabolism
"adenylate kinase";Purine metabolism
"2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)";Riboflavin metabolism
"adenylate kinase (GTP)";Purine metabolism
"adenylosuccinate lyase (AICAR)";Purine metabolism
"adenylosuccinate lyase";Purine metabolism
"adenylosuccinate synthase";Purine metabolism
"adenylyl-sulfate kinase";Sulfur metabolism
"(1-3)-beta-D-glucan exchange";Exchange
"(1-3)-beta-D-glucan transport";Transport, envelope
"(R)-carnitine exchange";Exchange
"(R)-lactate exchange";Exchange
"(R)-mevalonate exchange";Exchange
"(R)-pantothenate exchange";Exchange
"(R,R)-2,3-butanediol exchange";Exchange
"(S)-lactate exchange";Exchange
"(S)-malate exchange";Exchange
"1-(sn-glycero-3-phospho)-1D-myo-inositol exchange";Exchange
"1-acylglycerophosphocholine exchange";Exchange
"alanine glyoxylate aminotransferase";Alanine, aspartate and glutamate metabolism
"1D-myo-inositol 1,3,4,5,6-pentakisphosphate diffusion";Transport, nucleus
"1D-myo-inositol 1-phosphate transport";Transport, ER
"2'-deoxyadenosine exchange";Exchange
"2'-deoxyguanosine exchange";Exchange
"2'-deoxyinosine exchange";Exchange
"2'-deoxyuridine exchange";Exchange
"2-dehydro-3-deoxy-D-arabino-heptonate7-phohsphate transport";Transport, mitochondrion
"2-dehydropantoate transport";Transport, mitochondrion
"alanyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"2-isopropylmalate exchange";Exchange
"2-isopropylmalate transport";Transport, extracellular
"2-isopropylmalate transport";Transport, mitochondrion
"2-oxobutanoate transporter";Transport, mitochondrion
"2-oxoglutarate exchange";Exchange
"2-oxoglutarate transport";Transport, nucleus
"2-oxoglutarate transport";Transport, extracellular
"3-carboxy-4-methyl-2-oxopentanoate transport";Transport, mitochondrion
"3-methyl-2-oxopentanoate transport";Transport, mitochondrion
"2-aceto-2-hydroxybutanoate synthase";Valine, leucine and isoleucine biosynthesis
"3-octaprenyl-4-hydroxybenzoate transport";Transport, mitochondrion
"4-amino-5-hydroxymethyl-2-methylpyrimidine synthetase";
"4-aminobenzoate exchange";Exchange
"4-aminobenzoate transport";Transport, extracellular
"4-aminobenzoate transport";Transport, mitochondrion
"4-aminobutanal transport";Transport, mitochondrion
"4-aminobutyrate transport";Transport, mitochondrion
"4-hydroxy-2-oxoglutarate transport";Transport, mitochondrion
"4-hydroxy-2-oxoglutarate transport";Transport, peroxisome
"4-hydroxybenzoate transport";Transport, mitochondrion
"5'-nucleotidase (AMP)";Purine metabolism
"5'-nucleotidase (dAMP)";Purine metabolism
"5'-nucleotidase (dCMP)";Pyrimidine metabolism
"5'-nucleotidase (dGMP)";Purine metabolism
"5'-nucleotidase (dTMP)";Pyrimidine metabolism
"5'-nucleotidase (dUMP)";
"5'-nucleotidase (GMP)";Purine metabolism
"5'-nucleotidase (XMP)";Purine metabolism
"5-aminolevulinate exchange";Exchange
"5-aminolevulinate transport";Transport, mitochondrion
"5-formethyltetrahydrofolate cyclo-ligase";
"5-formyltetrahydrofolate:10-formyltetrahydrofolate isomerase";
"5-formyltetrahydrofolic acid exchange";Exchange
"7,8-diaminononanoate exchange";Exchange
"7,8-diaminononanoate transport";Transport, extracellular
"8-amino-7-oxononanoate exchange";Exchange
"alcohol dehydrogenase (ethanol to acetaldehyde)";Glycolysis/Gluconeogenesis
"9H-xanthine exchange";Exchange
"acetaldehyde exchange";Exchange
"acetaldehyde transport";Transport, mitochondrion
"acetaldehyde transport";Transport, extracellular
"acetate exchange";Exchange
"acetate transport";Transport, nucleus
"acetyl-CoA transport";Transport, nucleus
"acetylcarnitine transport";Transport, peroxisome
"adenine exchange";Exchange
"alcohol dehydrogenase (glycerol, NADP)";Glycerolipid metabolism
"adenine transport";Transport, mitochondrion
"adenosine 3',5'-bismonophosphate exchange";Exchange
"adenosine 3',5'-bisphosphate transport";Transport, mitochondrion
"adenosine exchange";Exchange
"ADP transport";Transport, nucleus
"ADP transport";Transport, ER
"AKG transporter, peroxisome";Transport, peroxisome
"allantoate exchange";Exchange
"allantoin exchange";Exchange
"mitochondrial alcohol dehydrogenase";Glycolysis/Gluconeogenesis
"alpha,alpha-trehalose exchange";Exchange
"alpha-D-glucosamine 6-phosphate exchange";Exchange
"alpha-ketoglutarate/malate transporter";Transport, extracellular
"ammonium exchange";Exchange
"AMP transport";Transport, nucleus
"arginine transport";Transport, mitochondrion
"asparagine transport";Transport, mitochondrion
"aspartate-glutamate transporter";Transport, peroxisome
"ATP diffusion";Transport, nucleus
"ATP transport";Transport, ER
"bicarbonate exchange";Exchange
"bicarbonate formation";Nitrogen metabolism
"bicarbonate formation";Transport, nucleus
"bicarbonate formation";Nitrogen metabolism
"bicarbonate formation";Nitrogen metabolism
"bicarbonate transport";Transport, nucleus
"biotin exchange";Exchange
"carbon dioxide exchange";Exchange
"carnitine transport";Transport, peroxisome
"carnitine-acetylcarnitine carrier";Transport, peroxisome
"CDP transport";Transport, nucleus
"ceramide transport";Transport, ER to Golgi
"ceramide transport";Transport, ER to Golgi
"ceramide transport";Transport, ER to Golgi
"ceramide transport";Transport, ER to Golgi
"ceramide transport";Transport, ER to Golgi
"ceramide transport";Transport, ER to Golgi
"cholestenol delta-isomerase, lumped reaction";
"choline exchange";Exchange
"choline transport";Transport, envelope
"chorismate pyruvate lyase";
"citrate transport";Transport, extracellular
"citrate(3-) exchange";Exchange
"citrate/isocitrate antiport";Transport, peroxisome
"citrate/malate antiport";Transport, peroxisome
"CMP nucleosidase";
"CO2 transport";Transport, ER
"CO2 transport";Transport, nucleus
"CO2 transport";Transport, peroxisome
"CO2 transport";Transport, mitochondrion
"CO2 transport";Transport, extracellular
"coenzyme A transport";Transport, ER
"coenzyme A transport";Transport, nucleus
"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase";Folate biosynthesis
"coenzyme A transport";Transport, peroxisome
"complex sphingolipid transport";Transport, Golgi
"cytidine exchange";Exchange
"cytidylate kinase (CMP)";Pyrimidine metabolism
"cytidylate kinase (dCMP)";Pyrimidine metabolism
"cytosine exchange";Exchange
"D-arabinose exchange";Exchange
"D-arabinose transport";Transport, extracellular
"D-erythrose 4-phosphate transport";Transport, mitochondrion
"D-fructose exchange";Exchange
"D-galactose exchange";Exchange
"D-galacturonate exchange";Exchange
"D-glucitol exchange";Exchange
"D-glucosamine 6-phosphate uniport";Transport, extracellular
"D-glucose exchange";Exchange
"D-mannose exchange";Exchange
"D-ribose exchange";Exchange
"D-sorbitol transport";Transport, extracellular
"D-xylose exchange";Exchange
"D-xylose transport";Transport, extracellular
"aldehyde dehydrogenase (3-aminopropanal, NAD)";beta-Alanine metabolism
"dADP transport";Transport, nucleus
"dCDP transport";Transport, nucleus
"ATP deamination";
"dATP deamination";
"ADP deamination";
"dADP deamination";
"deamino-NAD+ diffusion";Transport, nucleus
"decanoate exchange";Exchange
"deoxyadenosine transport";Transport, extracellular
"deoxyadenylate kinase";Purine metabolism
"aldehyde dehydrogenase (acetaldehyde, NADP)";Glycolysis/Gluconeogenesis
"deoxycytidine exchange";Exchange
"deoxycytidine transport";Transport, extracellular
"deoxyguanosine transport";Transport, extracellular
"deoxyinosine transport";Transport, extracellular
"deoxyuridine kinase (ATP:deoxyuridine)";
"deoxyuridine transport";Transport, extracellular
"dephospho-CoA kinase";Pantothenate and CoA biosynthesis
"dGDP transport";Transport, nucleus
"dhnpt transport";Transport, mitochondrion
"diamine transaminase";
"aldehyde dehydrogenase (acetylaldehyde, NAD)";Glycolysis/Gluconeogenesis
"dihydrofolate transport";Transport, mitochondrion
"dihydroneopterin triphosphate pyrophosphatase";
"dihydropteroate transport";Transport, mitochondrion
"dihydroxyacetone phosphate transport";Transport, mitochondrion
