Entry;subSystem
"M(IP)2C transport";Transport, ER to Golgi
"M(IP)2C transport";Transport, ER to Golgi
"M(IP)2C transport";Transport, ER to Golgi
"M(IP)2C transport";Transport, ER to Golgi
"M(IP)2C transport";Transport, ER to Golgi
"M(IP)2C transport";Transport, ER to Golgi
"M(IP)2C transport";Transport, ER to Golgi
"malate/oxaloacetate shuttle";Transport, peroxisome
"maltose exchange";Exchange
"mannan transport";Transport, ER
"methionine transport";Transport, mitochondrion
"MIPC transport";Transport, ER to Golgi
"MIPC transport";Transport, ER to Golgi
"MIPC transport";Transport, ER to Golgi
"alpha,alpha-trehalase";Starch and sucrose metabolism
"MIPC transport";Transport, ER to Golgi
"MIPC transport";Transport, ER to Golgi
"MIPC transport";Transport, ER to Golgi
"MIPC transport";Transport, ER to Golgi
"MIPC transport";Transport, ER to Golgi
"MIPC transport";Transport, ER to Golgi
"MIPC transport";Transport, ER to Golgi
"myo-inositol exchange";Exchange
"alpha,alpha-trehalose-phosphate synthase (UDP-forming)";Starch and sucrose metabolism
"NADP(+) transport";Transport, ER
"NADPH transport";Transport, ER
"NH3 transport";Transport, mitochondrion
"nicotinamide diffusion";Transport, nucleus
"nicotinate exchange";Exchange
"NMN exchange";Exchange
"NMN transport";Transport, nucleus
"NMN transport";Transport, peroxisome
"NMN transport";Transport, extracellular
"nucleoside-diphosphatase (dGDP)";
"nucleoside-triphosphatase (dGTP)";
"O-acetylcarnintine transport into mitochondria";Transport, mitochondrion
"O2 transport";Transport, ER
"O2 transport";Transport, mitochondrion
"O2 transport";Transport, extracellular
"O2 transport";Transport, peroxisome
"octadecanoate (n-C18:0) transport";Transport, extracellular
"octanoate exchange";Exchange
"ornithine exchange";Exchange
"oxaloacetate transport";Transport, extracellular
"oxaloacetate(2-) exchange";Exchange
"amidase";Arginine and proline metabolism
"oxidized glutathione uniport";Transport, extracellular
"oxidized thioredoxin transport";Transport, peroxisome
"oxygen exchange";Exchange
"palmitate exchange";Exchange
"palmitoleate exchange";Exchange
"palmitoyl-CoA transport";Transport, ER
"panthetheine 4'-phosphate transport";Transport, mitochondrion
"panthetheine-phosphate adenylyltransferase";
"PAP uniport";Transport, extracellular
"pectin exchange";Exchange
"(R)-lactate:ferricytochrome-c 2-oxidoreductase";Pyruvate metabolism
"2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase";Phenylalanine, tyrosine and tryptophan biosynthesis
"Aminoacetone:oxygen oxidoreductase(deaminating)(flavin-containing)";Glycine, serine and threonine metabolism
"phenylalanine transport";Transport, mitochondrion
"phosphate exchange";Exchange
"phosphate transport";Transport, vacuole
"Aminobutyraldehyde dehydrogenase";Arginine and proline metabolism
"anthranilate phosphoribosyltransferase";Phenylalanine, tyrosine and tryptophan biosynthesis
"potassium exchange";Exchange
"protoporphyrinogen IX transport";Transport, mitochondrion
"PRPP transport";Transport, mitochondrion
"putrescine exchange";Exchange
"pyridoxal kinase";
"pyridoxamine kinase";
"pyridoxamine phosphatase";
"pyridoxine exchange";Exchange
"pyridoxine kinase";Vitamin B6 metabolism
"anthranilate synthase";Phenylalanine, tyrosine and tryptophan biosynthesis
"pyrimidine phosphatase";
"pyrimidine-nucleoside phosphorylase (uracil)";
"pyrophosphate transport";Transport, mitochondrion
"pyruvate exchange";Exchange
"pyruvate transport";Transport, mitochondrion
"quinolinate transport";Transport, mitochondrion
"reduced thioredoxin transport";Transport, peroxisome
"riboflavin exchange";Exchange
"riboflavin transport";Transport, mitochondrion
"Ap4A hydrolase";Purine metabolism
"riboflavin transport";Transport, extracellular
"ribose transporter";Transport, extracellular
"S-adenosyl-L-homocysteine transport";Transport, mitochondrion
"S-adenosyl-L-methionine exchange";Exchange
"S-methyl-L-methionine exchange";Exchange
"serine transport";Transport, mitochondrion
"sn-glycero-3-phosphocholine exchange";Exchange
"sodium exchange";Exchange
"arabinose reductase";Pentose and glucuronate interconversions
"spermidine acetyltransferase";
"spermidine exchange";Exchange
"spermine exchange";Exchange
"squalene transport";Transport, ER
"squalene-2,3-epoxide transport";Transport, ER
"stearate exchange";Exchange
"succinate exchange";Exchange
"succinate transport";Transport, extracellular
"sucrose exchange";Exchange
"arginase";Arginine and proline metabolism
"sulphate exchange";Exchange
"sulphite exchange";Exchange
"taurine exchange";Exchange
"tetracosanoyl-CoA transport";Transport, ER
"thiamin phosphatase";Thiamine metabolism
"thiaminase";Thiamine metabolism
"thiamine(1+) diphosphate(1-) exchange";Exchange
"thiamine(1+) exchange";Exchange
"thiamine(1+) monophosphate exchange";Exchange
"thiamine-phosphate kinase";
"argininosuccinate lyase";Arginine and proline metabolism
"thiazole phosphate synthesis (ribose 5-phosphate)";
"thiazole phosphate synthesis (xylulose 5-phosphate)";
"threonine transport";Transport, mitochondrion
"thymidine exchange";Exchange
"thymidine kinase (ATP:thymidine)";
"thymidine transport";Transport, extracellular
"trehalose transporter";Transport, extracellular
"argininosuccinate synthase";Arginine and proline metabolism
"trehalose vacuolar transport";Transport, vacuole
"tryptophan transport";Transport, mitochondrion
"tyrosine transport";Transport, mitochondrion
"tyrosine transport";Transport, peroxisome
"UMP transport";Transport, nucleus
"arginyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"uracil exchange";Exchange
"urea exchange";Exchange
"uridine exchange";Exchange
"valine transport";Transport, mitochondrion
"water diffusion";Transport, ER
"water diffusion";Transport, Golgi
"water diffusion";Transport, mitochondrion
"water diffusion";Transport, nucleus
"water diffusion";Transport, peroxisome
"water diffusion";Transport, vacuole
"2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase";Ubiquinone and other terpenoid-quinone biosynthesis
"arginyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"water exchange";Exchange
"xanthine transport";Transport, extracellular
"xanthosine exchange";Exchange
"xanthosine transport";Transport, extracellular
"xylitol exchange";Exchange
"xylitol transport";Transport, extracellular
"zymosterol exchange";Exchange
"zymosterol transport";Transport, envelope
"asparagine synthase (glutamine-hydrolysing)";Alanine, aspartate and glutamate metabolism
"growth";Model specific
"kynurenine aminotransferase";Tryptophan metabolism
"spontaneous kynurenic acid to quinaldic acid";Tryptophan metabolism
"spontaneous 2-amino-3-carboxymuconate-6-semialdehyde to quinolinate";
"alcohol dehydrogenase, (acetaldehyde to ethanol)";
"acetaldehyde dehydrogenase";Glycolysis/Gluconeogenesis
"phenylalanine transaminase";Phenylalanine, tyrosine and tryptophan biosynthesis
"tryptophan transaminase";Phenylalanine, tyrosine and tryptophan biosynthesis
"tyrosine transaminase";Phenylalanine, tyrosine and tryptophan biosynthesis
"Asparaginyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"coenzyme A: cytoplasm to LP";Transport, lipid particle
"sedoheptulose bisphosphatase";
"proton leak";Transport, mitochondrion
"asparaginyl-tRNA synthetase, miotchondrial";Aminoacyl-tRNA biosynthesis
"isocitrate dehydrogenase";Citrate cycle (TCA cycle)
"oxoglutarate/malate exchange";Transport, mitochondrion
"14-demethyllanosterol exchange";Exchange
"14-demethyllanosterol transport";Transport, extracellular
"ergosta-5,7,22,24(28)-tetraen-3beta-ol exchange";Exchange
"ergosta-5,7,22,24(28)-tetraen-3beta-ol transport";Transport, extracellular
"aspartate carbamoyltransferase";Pyrimidine metabolism
"fatty-acyl-CoA synthase (n-C16:0CoA)";Fatty acid degradation
"fatty-acyl-CoA synthase (n-C18:0CoA)";Fatty acid degradation
"B-ketoacyl-ACP synthase (acetoacetyl-ACP)";Fatty acid biosynthesis
"B-ketoacyl-ACP synthase (3-oxo-hexanoyl-ACP)";Fatty acid biosynthesis
"B-ketoacyl-ACP synthase (3-oxo-octanoyl-ACP)";Fatty acid biosynthesis
"3-oxoacyl-ACP reductase (3-hydroxybutanoyl-ACP)";Fatty acid biosynthesis
"3-oxoacyl-ACP reductase (3-hydroxyhexanoyl-ACP)";Fatty acid biosynthesis
"3-oxoacyl-ACP reductase (3-hydroxyoctanoyl-ACP)";Fatty acid biosynthesis
"3-hydroxyacyl-thioester dehydratase (trans-but-2-enoyl-ACP)";Fatty acid biosynthesis
"3-hydroxyacyl-thioester dehydratase (trans-hex-2-enoyl-ACP)";Fatty acid biosynthesis
"aspartate kinase";Glycine, serine and threonine metabolism
"3-hydroxyacyl-thioester dehydratase (trans-oct-2-enoyl-ACP)";Fatty acid biosynthesis
"enoyl-ACP reductase (butanoyl-ACP)";Fatty acid biosynthesis
"enoyl-ACP reductase (hexanoyl-ACP)";Fatty acid biosynthesis
"enoyl-ACP reductase (octanoyl-ACP)";Fatty acid biosynthesis
"elongase I (3-oxotetradecanoyl-CoA)";Fatty acid elongation
"elongase I (3-oxopalmitoyl-CoA)";Fatty acid elongation
"elongase II (3-oxooctadecanoyl-CoA)";Fatty acid elongation
"elongase II or III (3-oxoicosanoyl-CoA)";Fatty acid elongation
"elongase II or III (3-oxodocosanoyl-CoA)";Fatty acid elongation
"elongase II or III (3-oxotetracosanoyl-CoA)";Fatty acid elongation
"aspartate transaminase";Alanine, aspartate and glutamate metabolism
"elongase III (3-oxohexacosanoyl-CoA)";Fatty acid elongation
"B-ketoacyl-CoA reductase ((S)-3-hydroxytetradecanoyl-CoA)";Fatty acid elongation
"B-ketoacyl-CoA reductase ((S)-3-hydroxypalmitoyl-CoA)";Fatty acid elongation
"B-ketoacyl-CoA reductase (3-hydroxyoctadecanoyl-CoA)";Fatty acid elongation
"B-ketoacyl-CoA reductase (3-hydroxyicosanoyl-CoA)";Fatty acid elongation
"B-ketoacyl-CoA reductase (3-hydroxydocosanoyl-CoA)";Fatty acid elongation
"B-ketoacyl-CoA reductase (3-hydroxytetracosanoyl-CoA)";Fatty acid elongation
"B-ketoacyl-CoA reductase ((S)-3-hydroxyhexacosanoyl-CoA)";Fatty acid elongation
"B-hydroxyacyl-CoA dehydratase (trans-tetradec-2-enoyl-CoA)";Fatty acid elongation
"B-hydroxyacyl-CoA dehydratase (trans-hexadec-2-enoyl-CoA)";Fatty acid elongation
"aspartate transaminase";Alanine, aspartate and glutamate metabolism
"B-hydroxyacyl-CoA dehydratase (trans-octadec-2-enoyl-CoA)";Fatty acid elongation
"B-hydroxyacyl-CoA dehydratase (trans-icos-2-enoyl-CoA)";Fatty acid elongation
"B-hydroxyacyl-CoA dehydratase (trans-docos-2-enoyl-CoA)";Fatty acid elongation
"B-hydroxyacyl-CoA dehydratase (trans-tetracos-2-enoyl-CoA)";Fatty acid elongation
"B-hydroxyacyl-CoA dehydratase (trans-hexacos-2-enoyl-CoA)";Fatty acid elongation
"trans-2-enoyl-CoA reductase (n-C14:0CoA)";Fatty acid elongation
"trans-2-enoyl-CoA reductase (n-C16:0CoA)";Fatty acid elongation
"trans-2-enoyl-CoA reductase (n-C18:0CoA)";Fatty acid elongation
"trans-2-enoyl-CoA reductase (n-C20:0CoA)";Fatty acid elongation
"trans-2-enoyl-CoA reductase (n-C22:0CoA)";Fatty acid elongation
"aspartate transaminase";Alanine, aspartate and glutamate metabolism
"trans-2-enoyl-CoA reductase (n-C24:0CoA)";Fatty acid elongation
"trans-2-enoyl-CoA reductase (n-C26:0CoA)";Fatty acid elongation
"palmitoyl-CoA desaturase (n-C16:0CoA - n-C16:1CoA), ER membrane";Fatty acid desaturation
"stearoyl-CoA desaturase (n-C18:0CoA - n-C18:1CoA), ER membrane";Fatty acid desaturation
"octanoate (n-C8:0) transport";Transport, extracellular
"decanoate (n-C10:0) transport";Transport, extracellular
"laurate (n-C12:0) transport";Transport, extracellular
"butyrate exchange";Exchange
"hexanoate exchange";Exchange
"oleate exchange";Exchange
"aspartate-semialdehyde dehydrogenase";Glycine, serine and threonine metabolism
"butyrate (n-C4:0) transport";Transport, extracellular
"hexanoate (n-C6:0) transport";Transport, extracellular
"octadecenoate (n-C18:1) transport";Transport, extracellular
"myristate exchange";Exchange
"fatty-acid--CoA ligase (dodecanoate), ER membrane";Fatty acid degradation
"fatty-acid--CoA ligase (tetradecanoate), ER membrane";Fatty acid degradation
"fatty-acid--CoA ligase (hexadecanoate), ER membrane";Fatty acid degradation
"fatty-acid--CoA ligase (hexadecenoate), ER membrane";Fatty acid degradation
"fatty-acid--CoA ligase (octadecanoate), ER membrane";Fatty acid degradation
"fatty-acid--CoA ligase (octadecenoate), ER membrane";Fatty acid degradation
"2-hexaprenyl-6-methoxyphenol monooxygenase";Ubiquinone and other terpenoid-quinone biosynthesis
"Aspartyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"fatty-acid--CoA ligase (dodecanoate), lipid particle";Fatty acid degradation
"fatty-acid--CoA ligase (tetradecanoate), lipid particle";Fatty acid degradation
"fatty-acid--CoA ligase (hexadecanoate), lipid particle";Fatty acid degradation
"fatty-acid--CoA ligase (hexadecenoate), lipid particle";Fatty acid degradation
"fatty-acid--CoA ligase (octadecanoate), lipid particle";Fatty acid degradation
"fatty-acid--CoA ligase (octadecenoate), lipid particle";Fatty acid degradation
"fatty-acid--CoA ligase (hexadecenoate), peroxisome";Fatty acid degradation
"fatty-acid--CoA ligase (octadecanoate), peroxisome";Fatty acid degradation
"fatty-acid--CoA ligase (octadecenoate), peroxisome";Fatty acid degradation
"fatty-acid--CoA ligase (arachidate), cell envelope";Fatty acid degradation
"Aspartyl-tRNA synthetase";Aminoacyl-tRNA biosynthesis
"fatty-acid--CoA ligase (behenate), cell envelope";Fatty acid degradation
"fatty-acid--CoA ligase (lignoceric acid), cell envelope";Fatty acid degradation
"fatty-acid--CoA ligase (cerotic acid), cell envelope";Fatty acid degradation
"fatty-acid--CoA ligase (behenate), ER membrane";Fatty acid degradation
"fatty-acid--CoA ligase (lignoceric acid), ER membrane";Fatty acid degradation
"fatty-acid--CoA ligase (cerotic acid), ER membrane";Fatty acid degradation
"fatty-acid--CoA ligase (behenate), lipid particle";Fatty acid degradation
"fatty-acid--CoA ligase (lignoceric acid), lipid particle";Fatty acid degradation
"fatty-acid--CoA ligase (cerotic acid), lipid particle";Fatty acid degradation
"fatty acyl-CoA transport via ABC system (C12:0)";Transport, peroxisome
"ATP adenylyltransferase";Purine metabolism
"fatty acyl-CoA transport via ABC system (C14:0)";Transport, peroxisome
"fatty acyl-CoA transport via ABC system (C16:0)";Transport, peroxisome
"fatty acyl-CoA transport via ABC system (C16:1)";Transport, peroxisome
"fatty acyl-CoA transport via ABC system (C18:0)";Transport, peroxisome
"fatty acyl-CoA transport via ABC system (C18:1)";Transport, peroxisome
"fatty acyl-CoA transport via ABC system (C20:0)";Transport, peroxisome
"fatty acyl-CoA transport via ABC system (C22:0)";Transport, peroxisome
"fatty acyl-CoA transport via ABC system (C24:0)";Transport, peroxisome
"fatty acyl-CoA transport via ABC system (C26:0)";Transport, peroxisome
"butyrate (n-C4:0) transport, cytoplasm-peroxisome";Transport, peroxisome
"ATP adenylyltransferase";Purine metabolism
"hexanoate (n-C6:0) transport, cytoplasm-peroxisome";Transport, peroxisome
"octadecenoate (n-C18:1) transport, cytoplasm-peroxisome";Transport, peroxisome
"peroxisomal acyl-CoA thioesterase (4:0)";Fatty acid metabolism
"peroxisomal acyl-CoA thioesterase (6:0)";Fatty acid metabolism
"peroxisomal acyl-CoA thioesterase (16:1)";Fatty acid metabolism
"peroxisomal acyl-CoA thioesterase (18:1)";Fatty acid metabolism
"acyl-CoA oxidase (butanoyl-CoA)";Fatty acid degradation
"acyl-CoA oxidase (hexanoyl-CoA)";Fatty acid degradation
"acyl-CoA oxidase (octanoyl-CoA)";Fatty acid degradation
"acyl-CoA oxidase (icosanoyl-CoA)";Fatty acid degradation
"ATP adenylyltransferase";Purine metabolism
"acyl-CoA oxidase (docosanoyl-CoA)";Fatty acid degradation
"acyl-CoA oxidase (tetracosanoyl-CoA)";Fatty acid degradation
"acyl-CoA oxidase (palmitoleoyl-CoA)";Fatty acid degradation
"acyl-CoA oxidase (cis-tetradec-7-enoyl-CoA)";Fatty acid degradation
"acyl-CoA oxidase (cis-dodec-5-enoyl-CoA)";Fatty acid degradation
"acyl-CoA oxidase (oleoyl-CoA)";Fatty acid degradation
"acyl-CoA oxidase (cis-hexadec-7-enoyl-CoA)";Fatty acid degradation
"acyl-CoA oxidase (cis-tetradec-5-enoyl-CoA)";Fatty acid degradation
"2-enoyl-CoA hydratase (3-hydroxydecanoyl-CoA)";Fatty acid metabolism
"2-enoyl-CoA hydratase (3-hydroxydodecanoyl-CoA)";Fatty acid metabolism
"ATP phosphoribosyltransferase";Histidine metabolism
"2-enoyl-CoA hydratase (3-hydroxytetradecanoyl-CoA)";Fatty acid metabolism
"2-enoyl-CoA hydratase (3-hydroxyhexadecanoyl-CoA)";Fatty acid metabolism
"2-enoyl-CoA hydratase (3-hydroxyoctadecanoyl-CoA)";Fatty acid metabolism
"2-enoyl-CoA hydratase (3-hydroxyhexacosanoyl-CoA)";Fatty acid metabolism
"2-enoyl-CoA hydratase (3-hydroxybutanoyl-CoA)";Fatty acid degradation
"2-enoyl-CoA hydratase (3-hydroxyhexanoyl-CoA)";Fatty acid degradation
"2-enoyl-CoA hydratase (3-hydroxyoctanoyl-CoA)";Fatty acid degradation
"2-enoyl-CoA hydratase (3-hydroxyicosanoyl-CoA)";Fatty acid degradation
"2-enoyl-CoA hydratase (3-hydroxydocosanoyl-CoA)";Fatty acid degradation
"2-enoyl-CoA hydratase (3-hydroxytetracosanoyl-CoA)";Fatty acid degradation
"ATP synthase";Oxidative phosphorylation
"2-enoyl-CoA hydratase (3-hydroxy-cis-hexadec-9-enoyl-CoA)";Fatty acid degradation
"2-enoyl-CoA hydratase (3-hydroxy-cis-tetradec-7-enoyl-CoA)";Fatty acid degradation
"2-enoyl-CoA hydratase (3-hydroxy-cis-dodec-5-enoyl-CoA)";Fatty acid degradation
"2-enoyl-CoA hydratase (3-hydroxy-cis-octadec-9-enoyl-CoA)";Fatty acid degradation
"2-enoyl-CoA hydratase (3-hydroxy-cis-hexadec-7-enoyl-CoA)";Fatty acid degradation
"2-enoyl-CoA hydratase (3-hydroxy-cis-tetradec-5-enoyl-CoA)";Fatty acid degradation
"3-hydroxyacyl-CoA dehydrogenase (3-oxodecanoyl-CoA)";Fatty acid metabolism
"3-hydroxyacyl-CoA dehydrogenase (3-oxododecanoyl-CoA)";Fatty acid metabolism
"3-hydroxyacyl-CoA dehydrogenase (3-oxohexadecanoyl-CoA)";Fatty acid metabolism
"3-hydroxyacyl-CoA dehydrogenase (3-oxooctadecanoyl-CoA)";Fatty acid metabolism
"ATPase, cytosolic";Maintenance
"3-hydroxyacyl-CoA dehydrogenase (3-oxohexacosanoyl-CoA)";Fatty acid degradation
"3-hydroxyacyl-CoA dehydrogenase (3-oxobutanoyl-CoA)";Fatty acid degradation
"3-hydroxyacyl-CoA dehydrogenase (3-oxohexanoyl-CoA)";Fatty acid degradation
"3-hydroxyacyl-CoA dehydrogenase (3-oxooctanoyl-CoA)";Fatty acid degradation
"3-hydroxyacyl-CoA dehydrogenase (3-oxoicosanoyl-CoA)";Fatty acid degradation
"3-hydroxyacyl-CoA dehydrogenase (3-oxodocosanoyl-CoA)";Fatty acid degradation
"3-hydroxyacyl-CoA dehydrogenase (3-oxotetracosanoyl-CoA)";Fatty acid degradation
"3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-hexadec-9-enoyl-CoA)";Fatty acid degradation
"3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-tetradec-7-enoyl-CoA)";Fatty acid degradation
"3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-dodec-5-enoyl-CoA)";Fatty acid degradation
"beta-1,4 mannosyltransferase";N-Glycan biosynthesis
"3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-octadec-9-enoyl-CoA)";Fatty acid degradation
"3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-hexadec-7-enoyl-CoA)";Fatty acid degradation
"3-hydroxyacyl-CoA dehydrogenase (3-oxo-cis-tetradec-5-enoyl-CoA)";Fatty acid degradation
"acetyl-CoA C-acyltransferase (acetyl-CoA)";Fatty acid degradation
"acetyl-CoA C-acyltransferase (butanoyl-CoA)";Fatty acid degradation
"acetyl-CoA C-acyltransferase (hexanoyl-CoA)";Fatty acid degradation
"acetyl-CoA C-acyltransferase (stearoyl-CoA)";Fatty acid degradation
"acetyl-CoA C-acyltransferase (icosanoyl-CoA)";Fatty acid degradation
"acetyl-CoA C-acyltransferase (docosanoyl-CoA)";Fatty acid degradation
"acetyl-CoA C-acyltransferase (cis-tetradec-7-enoyl-CoA)";Fatty acid degradation
"biotin synthase";Biotin metabolism
"acetyl-CoA C-acyltransferase (cis-dodec-5-enoyl-CoA)";Fatty acid degradation
"acetyl-CoA C-acyltransferase (cis-dec-3-enoyl-CoA)";Fatty acid degradation
"acetyl-CoA C-acyltransferase (cis-hexadec-7-enoyl-CoA)";Fatty acid degradation
"acetyl-CoA C-acyltransferase (cis-tetradec-5-enoyl-CoA)";Fatty acid degradation
"acetyl-CoA C-acyltransferase (cis-dodec-3-enoyl-CoA)";Fatty acid degradation
"delta3,delta2-enoyl-CoA isomerase (cis-dec-3-enoyl-CoA)";Fatty acid degradation
"delta3,delta2-enoyl-CoA isomerase (trans-2,cis-5-dodecadienoyl-CoA)";Fatty acid degradation
"delta3,delta2-enoyl-CoA isomerase (trans-dodec-3-enoyl-CoA)";Fatty acid degradation
"delta3,delta2-enoyl-CoA isomerase (cis-dodec-3-enoyl-CoA)";Fatty acid degradation
"delta3,delta2-enoyl-CoA isomerase (trans-2,cis-5-tetradecadienoyl-CoA)";Fatty acid degradation
"2-isopropylmalate hydratase";Valine, leucine and isoleucine biosynthesis
"biotin-[acetyl-CoA-carboxylase] ligase";Biotin metabolism
"delta3,delta2-enoyl-CoA isomerase (trans-tetradec-3-enoyl-CoA)";Fatty acid degradation
"delta(3,5)-delta(2,4)-dienoyl-CoA isomerase (trans-3,cis-5-dodecadienoyl-CoA)";Fatty acid degradation
"delta(3,5)-delta(2,4)-dienoyl-CoA isomerase (trans-3,cis-5-tetradecadienoyl-CoA)";Fatty acid degradation
"2,4-dienoyl-CoA reductase (trans-2,trans-4-dodecadienoyl-CoA)";Fatty acid degradation
"2,4-dienoyl-CoA reductase (trans-2,trans-4-tetradecadienoyl-CoA)";Fatty acid degradation
"cis-aconitate(3-) to isocitrate";
"C-14 sterol reductase";Steroid biosynthesis
"C-22 sterol desaturase (NADP)";Steroid biosynthesis
"C-3 sterol dehydrogenase";Steroid biosynthesis
"C-3 sterol dehydrogenase (4-methylzymosterol)";Steroid biosynthesis
"C-3 sterol keto reductase (4-methylzymosterol)";Steroid biosynthesis
"C-3 sterol keto reductase (zymosterol)";Steroid biosynthesis
"C-4 methyl sterol oxidase";Steroid biosynthesis
"C-4 methyl sterol oxidase";Steroid biosynthesis
"2-isopropylmalate synthase";Valine, leucine and isoleucine biosynthesis
"C-4 methyl sterol oxidase";Steroid biosynthesis
"C-4 sterol methyl oxidase (4,4-dimethylzymosterol)";Steroid biosynthesis
"C-5 sterol desaturase";Steroid biosynthesis
"C-8 sterol isomerase";Steroid biosynthesis
"C-s24 sterol reductase";Steroid biosynthesis
"lysoPI acyltransferase, ER membrane";Inositol phosphate metabolism
"CAAX farnesyltransferase";Ubiquinone and other terpenoid-quinone biosynthesis
"2-isopropylmalate synthase";Valine, leucine and isoleucine biosynthesis
"carbamoyl-phosphate synthase (glutamine-hydrolysing)";Pyrimidine metabolism
"DAG kinase";
"cardiolipin synthase";Glycerophospholipid metabolism
"carnitine O-acetyltransferase";Fatty acid metabolism
"carnitine O-acetyltransferase";Fatty acid metabolism
"carnitine O-acetyltransferase";Fatty acid metabolism
"PGP phosphatase";Glycerophospholipid metabolism
"catalase";Glyoxylate and dicarboxylate metabolism
"catalase";Glyoxylate and dicarboxylate metabolism
"CDP-diacylglycerol synthase";Glycerophospholipid metabolism
"CDP-diacylglycerol synthase";Glycerophospholipid metabolism
"CL phospholipase";Glycerophospholipid metabolism
"ceramide-1 hydroxylase (24C)";Sphingolipid metabolism
"2-keto-4-methylthiobutyrate transamination";Cysteine and methionine metabolism
"ceramide-1 hydroxylase (24C)";Sphingolipid metabolism
"ceramide-1 hydroxylase (26C)";Sphingolipid metabolism
"ceramide-1 hydroxylase (26C)";Sphingolipid metabolism
"MLCL:PC acyltransferase";Glycerophospholipid metabolism
"ceramide-1 synthase (24C)";Sphingolipid metabolism
"ceramide-1 synthase (26C)";Sphingolipid metabolism
"ceramide-2 synthase (24C)";Sphingolipid metabolism
"ceramide-2 synthase (26C)";Sphingolipid metabolism
"ceramide-3 synthase (24C)";Sphingolipid metabolism
"ceramide-3 synthase (26C)";Sphingolipid metabolism
"ceramide-4 synthase (24C)";Sphingolipid metabolism
"homoaconitase";Lysine biosynthesis
"ceramide-4 synthase (26C)";Sphingolipid metabolism
"chitin deacetylase";Amino sugar and nucleotide sugar metabolism
"chitin synthase";Amino sugar and nucleotide sugar metabolism
"choline kinase";Glycerophospholipid metabolism
"choline phosphate cytididyltransferase";Glycerophospholipid metabolism
"choline/ethanolaminephosphotransferase";Glycerophospholipid metabolism
"cholinephosphotransferase";Glycerophospholipid metabolism
"chorismate mutase";Phenylalanine, tyrosine and tryptophan biosynthesis
"chorismate synthase";Phenylalanine, tyrosine and tryptophan biosynthesis
"2-methylcitrate synthase";Propanoate metabolism
"cis-aconitate(3-) to isocitrate";Glyoxylate and dicarboxylate metabolism
"cis-prenyltransferase step 01";Terpenoid backbone biosynthesis
"lysoPC acyltransferase, mitochondrial membrane";Glycerophospholipid metabolism
"cis-prenyltransferase step 02";Terpenoid backbone biosynthesis
"cis-prenyltransferase step 03";Terpenoid backbone biosynthesis
"cis-prenyltransferase step 04";Terpenoid backbone biosynthesis
"cis-prenyltransferase step 05";Terpenoid backbone biosynthesis
"cis-prenyltransferase step 06";Terpenoid backbone biosynthesis
"cis-prenyltransferase step 07";Terpenoid backbone biosynthesis
"cis-prenyltransferase step 08";Terpenoid backbone biosynthesis
"PE diacylglycerol acyltransferase";Glycerophospholipid metabolism
"cis-prenyltransferase step 09";Terpenoid backbone biosynthesis
"2-oxo-4-methyl-3-carboxypentanoate decarboxylation";Valine, leucine and isoleucine biosynthesis
"cis-prenyltransferase step 10";Terpenoid backbone biosynthesis
"cis-prenyltransferase step 11";Terpenoid backbone biosynthesis
"cis-prenyltransferase step 12";Terpenoid backbone biosynthesis
"cis-prenyltransferase step 13";Terpenoid backbone biosynthesis
"cis-prenyltransferase step 14";Terpenoid backbone biosynthesis
"PC diacylglycerol acyltransferase";Glycerolipid metabolism
"cis-prenyltransferase step 15";Terpenoid backbone biosynthesis
"cis-prenyltransferase step 16";Terpenoid backbone biosynthesis
"cis-prenyltransferase step 17";Terpenoid backbone biosynthesis
"cis-prenyltransferase step 18";Terpenoid backbone biosynthesis
"cis-prenyltransferase step 19";Terpenoid backbone biosynthesis
"2-oxo-4-methyl-3-carboxypentanoate decarboxylation";Valine, leucine and isoleucine biosynthesis
"citrate synthase";Glyoxylate and dicarboxylate metabolism
"citrate synthase, peroxisomal";Glyoxylate and dicarboxylate metabolism
"citrate to cis-aconitate(3-)";Citrate cycle (TCA cycle)
"PC phospholipase B";Glycerophospholipid metabolism
"citrate to cis-aconitate(3-), cytoplasmic";Citrate cycle (TCA cycle)
"LPC phospholipase B";Glycerophospholipid metabolism
"PC phospholipase B";Glycerophospholipid metabolism
"coproporphyrinogen oxidase (O2 required)";Porphyrin and chlorophyll metabolism
"LPC phospholipase B";Glycerophospholipid metabolism
"PE phospholipase B";Glycerophospholipid metabolism
"LPE phospholipase B";Glycerophospholipid metabolism
"PS phospholipase B";Glycerophospholipid metabolism
"CTP synthase (glutamine)";Pyrimidine metabolism
"LPS phospholipase B";Glycerophospholipid metabolism
"CTP synthase (NH3)";Pyrimidine metabolism
"PI phospholipase B";Inositol phosphate metabolism
