protID,geneID,absUsage,capUsage,kcat,source,rxnID,rxnNames,grRules
Q6C6T4,YALI0E06479g,0.000193941304041121,0.000403199418333917,24.3262,DLKcat,1050_REV,"transketolase 2 (reversible)",YALI0E06479g
Q6C627,YALI0E13057g,0.105203872657615,0.955234516114673,6.0688,DLKcat,818,"ornithine transacetylase",YALI0E13057g
Q6C5V2,YALI0E14949g,0.84500680851153,0.999840124217399,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6C5V2,YALI0E14949g,0.109064172145424,0.129048351240667,486.9579,DLKcat,280_EXP_2,"cis-aconitate(3-) to isocitrate",YALI0E14949g
Q6C5V2,YALI0E14949g,0.735942636366092,0.870791772976733,34.7893,DLKcat,302_EXP_2,"citrate to cis-aconitate(3-)",YALI0E14949g
Q6C5R8,YALI0E15730g,0.092187570667923,0.953945280965119,1.38,custom,1011,"squalene epoxidase (NADP)",YALI0E15730g
Q6C4K5,YALI0E26004g,1.02275139720399,0.915809392951409,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6C4K5,YALI0E26004g,0.000200856434138239,0.000179854273014341,8.2041,DLKcat,322,"D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase",YALI0E26004g
Q6C4K5,YALI0E26004g,0.000165999745266705,0.000148642305802167,9.9268,DLKcat,322_REV,"D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase (reversible)",YALI0E26004g
Q6C4K5,YALI0E26004g,9.21510124887433e-05,8.25154216732312e-05,64.5,brenda,450,"fructose-bisphosphate aldolase",YALI0E26004g
Q6C4K5,YALI0E26004g,0.738938020109516,0.661672407855177,14.2949,DLKcat,450_REV,"fructose-bisphosphate aldolase (reversible)",YALI0E26004g
Q6C4K5,YALI0E26004g,0.000127743412872122,0.000114386172158536,8.8297,DLKcat,990,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase",YALI0E26004g
Q6C4K5,YALI0E26004g,0.28322662648971,0.253611586923584,13.8,custom,990_REV,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase (reversible)",YALI0E26004g
Q6C482,YALI0E28963g,0.114631600309215,0.955022969250096,5.5,brenda,153,"adenylosuccinate synthase",YALI0E28963g
Q6C454,YALI0E29579g,0.399758298661875,0.954055153757505,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6C454,YALI0E29579g,0.399716001245062,0.953954207589183,13.8,custom,882,"phosphoacetylglucosamine mutase",YALI0E29579g
Q6C454,YALI0E29579g,1.29667425931432e-05,3.09461683218208e-05,3.9807,DLKcat,882_REV,"phosphoacetylglucosamine mutase (reversible)",YALI0E29579g
Q6C454,YALI0E29579g,1.49527496578911e-05,3.56859330293052e-05,4.3347,DLKcat,890,"phosphoglucosamine mutase",YALI0E29579g
Q6C454,YALI0E29579g,1.43779245656745e-05,3.43140669703037e-05,4.508,DLKcat,890_REV,"phosphoglucosamine mutase (reversible)",YALI0E29579g
Q6C3Q2,YALI0E33033g,0.218342957895004,0.95522656804278,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6C3Q2,YALI0E33033g,0.218337137453268,0.955201104246574,2.2071,DLKcat,908,"phosphoribosyl amino imidazolesuccinocarbozamide synthetase",YALI0E33033g
Q6C3Q2,YALI0E33033g,5.82044173490748e-06,2.54637962063437e-05,2.1267,DLKcat,908_REV,"phosphoribosyl amino imidazolesuccinocarbozamide synthetase (reversible)",YALI0E33033g
Q6C3H5,YALI0E34793g,0.639564795362043,0.9925745791122,58.688,DLKcat,iNL2008,"ATP-citrate lyase",YALI0E34793g and YALI0D24431g
Q6C2D9,YALI0F08701g,0.121376190303688,0.916596532232085,0.8409,DLKcat,986,"S-adenosyl-methionine delta-24-sterol-c-methyltransferase",YALI0F08701g
Q6C1X5,YALI0F12639g,0.213917660217296,0.953945280965105,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6C1X5,YALI0F12639g,0.00753884687741025,0.0336187643194992,310,brenda,39,"3-dehydroquinate dehydratase",YALI0F12639g
Q6C1X5,YALI0F12639g,0.100558614321367,0.448431492261161,23.2406,DLKcat,40,"3-dehydroquinate synthase",YALI0F12639g
Q6C1X5,YALI0F12639g,0.0597660174102673,0.266520820266492,39.1032,DLKcat,65,"3-phosphoshikimate 1-carboxyvinyltransferase",YALI0F12639g
Q6C1X5,YALI0F12639g,0.00710347274163275,0.0316772551338746,329,brenda,996,"shikimate dehydrogenase",YALI0F12639g
Q6C1X5,YALI0F12639g,0.0389507088666195,0.173696948984079,60,brenda,997,"shikimate kinase",YALI0F12639g
Q6C1F3,YALI0F16819g,3.51232330127122,0.998090709235557,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q6C1F3,YALI0F16819g,3.51225670057934,0.998071783434598,26.0746,DLKcat,366,"enolase",YALI0F16819g
Q6C1F3,YALI0F16819g,6.66006917906607e-05,1.89258009593998e-05,34.07,brenda,366_REV,"enolase (reversible)",YALI0F16819g
Q99148,YALI0F21010g,0.553804065235158,0.95517656804278,NaN,===,===,"involved in multiple rxns, usage combined, individual rxns below",===
Q99148,YALI0F21010g,0.166617459096098,0.287374367119969,7,brenda,855,"phopshoribosylaminoimidazole synthetase",YALI0F21010g
Q99148,YALI0F21010g,0.387186606139059,0.667802200922811,3.0123,DLKcat,914,"phosphoribosylglycinamidine synthetase",YALI0F21010g
Q6BZY1,YALI0F30019g,0.157605052507395,0.955176568042779,12.524,DLKcat,79,"5'-phosphoribosylformyl glycinamidine synthetase",YALI0F30019g
Q12726,YALI0F31075g,0.565186801312955,0.982542943304023,2.6884,DLKcat,1838,"homocitrate synthase",YALI0F31075g
A0A168PH23,CarB,0.246372660861078,0.95028000000001,0.00043755,setKcatForReactions,CRTI,"phytoene dehydrogenase (lumped)",CarB
