UniProt_Entry	PARe.1	PARe.2	PARe.3	PARn.1	PARn.2	PARn.3	CARe.1	CARe.2	CARe.3	CARn.1	CARn.2	CARn.3	OBEe.1	OBEe.2	OBEe.3	OBEn.1	OBEn.2	OBEn.3
Q6C0N7	0.013183559	0.013631595	0.019874158	0.012516228	0.007502607	0.008919835	0.018787128	0.017704983	0.018365175	0.011837149	0.010058887	0.012208317	0.016610059	0.018631072	0.019689021	0.024577622	0.011417704	0.015963806
Q6C0N8	0.002882335	0.003221424	0.002705701	NA	0.001879628	0.002129326	0.002064118	0.003002015	0.003425996	0.002231154	0.0032625	0.001430626	0.002107156	0.002230159	0.002146004	NA	NA	NA
Q6C0P1	0.008677367	0.005681306	0.005579833	0.015835267	0.015820233	0.0170379	0.007120276	0.005987288	0.005779436	0.017469004	0.01454206	0.008493382	0.00549644	0.006545521	0.004928004	0.009419491	0.011944375	0.012651275
Q6C0P2	0.000664355	NA	NA	0.002305599	0.001586804	0.001548793	NA	NA	NA	0.002323996	0.002035677	0.000837061	NA	NA	0.000562507	0.004141309	0.003140444	0.004044703
Q6C0P3	0.042101588	0.042227935	0.045203867	0.004070107	0.003827052	0.003133362	0.04557099	0.043151228	0.044399255	0.003690585	0.003953176	0.014718161	0.040772788	0.037640338	0.037137191	0.00308003	0.002899345	0.003238606
Q6CBK8	0.000824451	0.000765564	0.001042126	0.001484994	0.001586699	0.001628341	0.000366249	0.00085515	0.000839138	0.001287679	0.001511666	0.000923528	0.000765029	0.000643721	0.000489519	0.00062206	0.000813368	0.001828563
Q6CBK6	0.028527167	0.028991461	0.03102351	0.010248227	0.012133166	0.00981843	0.029643276	0.031546512	0.030447384	0.009259548	0.008706392	0.011532803	0.023665891	0.022156151	0.019485598	0.009608828	0.009175073	0.009777582
Q6CBK2	0.013755613	0.015594147	0.017148678	0.005686815	0.006844754	0.00596623	0.016374306	0.017082606	0.014900565	0.004583592	0.005119074	0.006497531	0.012948061	0.010852728	0.010013336	0.001047741	0.004117218	0.004510492
Q6CBK0	0.006600669	0.006962954	0.007871715	0.005472365	0.004963283	0.004223725	0.005287789	0.006425533	0.00643652	0.00517551	0.004249555	0.003485795	0.005260204	0.005958874	0.005427377	0.004645755	0.00446858	0.004948401
Q6CBJ9	0.045025649	0.049040788	0.049203378	0.009614767	0.006990674	0.006531689	0.052543716	0.055593784	0.056836589	0.008657572	0.007690434	0.015404817	0.048471065	0.050894988	0.047790933	0.007488783	0.007214699	0.007226283
Q6CBJ8	0.018919969	0.020987246	0.022692403	0.006154037	0.008684669	0.00576982	0.017105878	0.021892415	0.023213493	0.006568616	0.006915869	0.008528729	0.019837414	0.021417244	0.019976258	0.005027088	0.008723531	0.006989231
Q6CBJ5	0.015126109	0.015343658	0.017190875	0.009544783	0.013376046	0.003551929	0.016480587	0.017695462	0.017924676	0.005462153	0.003307728	0.007412669	0.016794429	0.016681798	0.015312166	0.00595093	0.006057405	0.002935937
A0A1D8NM39	0.058364817	0.057499033	0.052620945	0.134953843	0.153959407	0.142435751	0.049058089	0.05143867	0.049648415	0.132634703	0.129900228	0.078407413	0.064902016	0.062899057	0.066574505	0.138890736	0.126908181	0.1262671
Q6C2S1	0.023369723	0.023107698	0.02445895	0.008985745	0.009934344	0.008318161	0.017014331	0.023312992	0.02125951	0.009645626	0.009956184	0.008701964	0.014560022	0.017495162	0.016874066	0.009009882	0.010009312	0.009327851
A0A1D8NM64	0.014048266	0.014724665	0.016339776	0.010919771	0.014166922	0.01163505	0.014362391	0.017708664	0.015985588	0.010417456	0.010400859	0.009074461	0.015374617	0.015939218	0.015566314	0.005022337	0.007994637	0.007789127
Q6C2S7	0.019902103	0.020048629	0.019996794	0.007447531	0.007518988	0.007863524	0.018927461	0.018844243	0.019015081	0.007649923	0.011143867	0.008814796	0.017704776	0.017375465	0.015886922	NA	0.010274017	0.009527594
Q6C2S8	0.000654096	0.000113821	NA	0.000339261	0.000175128	0.000524665	0.000272313	NA	NA	0.000555178	0.000272147	0.000223762	0.000258562	0.000342324	NA	NA	NA	0.00039777
A0A1H6Q0P8	0.005731148	0.006166749	0.00558714	0.009211788	0.011794987	0.007752191	0.006136859	0.005859198	0.005504154	0.008198968	0.008318738	0.006594965	0.006676189	0.007259629	0.007049342	0.011947815	0.009860358	0.008504682
Q6C7R4	0.001870845	0.00171681	0.001150351	NA	NA	NA	0.001538783	0.001515411	0.001467845	NA	NA	0.000434798	0.001521824	0.001249891	0.001352052	NA	NA	NA
A0A1D8NGC4	0.037049086	0.03799566	0.044439152	0.011368166	0.013118857	0.013269396	0.039083234	0.041621758	0.039135678	0.011635343	0.011771992	0.014517639	0.051669043	0.048015335	0.047673481	0.011768927	0.011093739	0.013045779
Q6C7Q9	0.000587825	0.000697212	NA	NA	NA	NA	0.00066127	0.000419584	0.000489879	NA	NA	NA	0.000182068	NA	NA	NA	NA	NA
Q6C7Q8	0.028947276	0.029451788	0.028242734	0.030057159	0.024233626	0.02033568	0.027977929	0.026880178	0.028604754	0.031796848	0.02519423	0.019042017	0.032852363	0.03315747	0.031395949	0.049260606	0.040507903	0.039149054
Q6C7Q7	0.001084881	0.000744488	0.001684617	0.001174467	0.000840842	0.001084211	0.000727628	NA	NA	0.000883118	0.000803862	0.000498773	NA	0.000441475	0.000362226	0.000703754	0.000660761	0.000500369
Q6C7Q3	0.000720627	0.00085612	0.000679089	0.001203696	0.001009518	0.000894448	0.000652986	0.000850371	0.000842739	0.000709054	0.00074302	0.000447083	0.000867719	0.001091232	0.001011415	0.000678191	0.000668963	0.000702692
B5RSL8	0.001371551	0.002064315	0.001948844	0.003378724	0.003333843	0.003876076	0.001196413	0.002831369	0.001900184	0.002927087	0.003769847	0.002085091	0.001408532	0.002210161	0.002291333	0.002976445	0.003117738	0.003045572
B5RSL7	0.021237333	0.017052271	0.014399073	0.009807555	0.017224111	0.009415531	0.022930917	0.019846381	0.019493342	0.012543165	0.013282162	0.013531466	0.037878609	0.049714764	0.097856938	0.016906467	0.015815557	0.011875301
