rxn_IDs	rxnNames	slope	grRules	rxn_formula
962	pyruvate kinase	8.11391070732135	YALI0F09185g	H+_p+1[c] + phosphoenolpyruvate[c] + ADP[c] => pyruvate[c] + ATP[c]
366	enolase	7.77060315905653	YALI0F16819g	2-phospho-D-glyceric acid[c] <=> phosphoenolpyruvate[c] + H2O[c]
893	phosphoglycerate mutase	7.77060315905653	YALI0B02728g	3-phosphoglycerate[c] <=> 2-phospho-D-glyceric acid[c]
486	glyceraldehyde-3-phosphate dehydrogenase	6.7553288029001	YALI0C06369g	NAD[c] + phosphate[c] + glyceraldehyde 3-phosphate[c] <=> H+_p+1[c] + NADH[c] + 1,3-bisphospho-D-glycerate[c]
892	phosphoglycerate kinase	6.7553288029001	YALI0D12400g	ADP[c] + 1,3-bisphospho-D-glycerate[c] <=> ATP[c] + 3-phosphoglycerate[c]
104	acetyl-CoA C-acetyltransferase	6.09293820472168	YALI0E11099g	2 acetyl-CoA[m] <=> acetoacetyl-CoA[m] + coenzyme A[m]
558	hydroxymethylglutaryl CoA reductase	6.09293820472168	YALI0E04807g	2 H+_p+1[c] + 2 NADPH[c] + 3-hydroxy-3-methylglutaryl-CoA[c] => 2 NADP(+)[c] + (R)-mevalonate[c] + coenzyme A[c]
560	hydroxymethylglutaryl CoA synthase	6.09293820472168	YALI0F30481g	acetoacetyl-CoA[m] + H2O[m] + acetyl-CoA[m] => H+_p+1[m] + 3-hydroxy-3-methylglutaryl-CoA[m] + coenzyme A[m]
735	mevalonate kinase (atp)	6.09293820472168	YALI0B16038g	ATP[c] + (R)-mevalonate[c] => H+_p+1[c] + ADP[c] + (R)-5-phosphomevalonic acid[c]
739	mevalonate pyrophoshate decarboxylase	6.09293820472168	YALI0F05632g	ATP[c] + (R)-5-diphosphomevalonic acid[c] => ADP[c] + phosphate[c] + isopentenyl diphosphate[c] + carbon dioxide[c]
904	phosphomevalonate kinase	6.09293820472168	YALI0E06193g	ATP[c] + (R)-5-phosphomevalonic acid[c] => ADP[c] + (R)-5-diphosphomevalonic acid[c]
300	citrate synthase	4.97338496811064	YALI0E00638g or YALI0E02684g	H2O[m] + acetyl-CoA[m] + oxaloacetate[m] => H+_p+1[m] + citrate[m] + coenzyme A[m]
