rxn_IDs	rxnNames	slope	grRules	rxn_formula
962	pyruvate kinase	0.45541773933287	YALI0F09185g	H+_p+1[c] + phosphoenolpyruvate[c] + ADP[c] => pyruvate[c] + ATP[c]
366	enolase	0.436148566529977	YALI0F16819g	2-phospho-D-glyceric acid[c] <=> phosphoenolpyruvate[c] + H2O[c]
893	phosphoglycerate mutase	0.436148566529977	YALI0B02728g	3-phosphoglycerate[c] <=> 2-phospho-D-glyceric acid[c]
486	glyceraldehyde-3-phosphate dehydrogenase	0.379163227552967	YALI0C06369g	NAD[c] + phosphate[c] + glyceraldehyde 3-phosphate[c] <=> H+_p+1[c] + NADH[c] + 1,3-bisphospho-D-glycerate[c]
892	phosphoglycerate kinase	0.379163227552967	YALI0D12400g	ADP[c] + 1,3-bisphospho-D-glycerate[c] <=> ATP[c] + 3-phosphoglycerate[c]
104	acetyl-CoA C-acetyltransferase	0.34198455506602	YALI0E11099g	2 acetyl-CoA[m] <=> acetoacetyl-CoA[m] + coenzyme A[m]
558	hydroxymethylglutaryl CoA reductase	0.34198455506602	YALI0E04807g	2 H+_p+1[c] + 2 NADPH[c] + 3-hydroxy-3-methylglutaryl-CoA[c] => 2 NADP(+)[c] + (R)-mevalonate[c] + coenzyme A[c]
560	hydroxymethylglutaryl CoA synthase	0.34198455506602	YALI0F30481g	acetoacetyl-CoA[m] + H2O[m] + acetyl-CoA[m] => H+_p+1[m] + 3-hydroxy-3-methylglutaryl-CoA[m] + coenzyme A[m]
735	mevalonate kinase (atp)	0.34198455506602	YALI0B16038g	ATP[c] + (R)-mevalonate[c] => H+_p+1[c] + ADP[c] + (R)-5-phosphomevalonic acid[c]
739	mevalonate pyrophoshate decarboxylase	0.34198455506602	YALI0F05632g	ATP[c] + (R)-5-diphosphomevalonic acid[c] => ADP[c] + phosphate[c] + isopentenyl diphosphate[c] + carbon dioxide[c]
904	phosphomevalonate kinase	0.34198455506602	YALI0E06193g	ATP[c] + (R)-5-phosphomevalonic acid[c] => ADP[c] + (R)-5-diphosphomevalonic acid[c]
300	citrate synthase	0.279146249041733	YALI0E00638g or YALI0E02684g	H2O[m] + acetyl-CoA[m] + oxaloacetate[m] => H+_p+1[m] + citrate[m] + coenzyme A[m]
1054	triose-phosphate isomerase	0.187419000811159	YALI0F05214g	dihydroxyacetone phosphate[c] <=> glyceraldehyde 3-phosphate[c]
449	fructose-bisphosphatase	0.183722660049097	YALI0A15972g	H2O[c] + D-fructose 1,6-bisphosphate[c] => D-fructose 6-phosphate[c] + phosphate[c]
450	fructose-bisphosphate aldolase	0.183722660049097	YALI0E26004g	D-fructose 1,6-bisphosphate[c] <=> dihydroxyacetone phosphate[c] + glyceraldehyde 3-phosphate[c]
811	nucleoside-diphosphate kinase (ATP:UDP)	0.143427319191958	YALI0F09229g	UDP[c] + ATP[c] => ADP[c] + UTP[c]
280	cis-aconitate(3-) to isocitrate	0.138132893063303	YALI0D09361g or YALI0E14949g	H2O[m] + cis-aconitate[m] <=> isocitrate[m]
302	citrate to cis-aconitate(3-)	0.138132893063303	YALI0D09361g or YALI0E14949g	citrate[m] <=> H2O[m] + cis-aconitate[m]
373	farnesyltranstransferase	0.087971287081237	YALI0D17050g	isopentenyl diphosphate[c] + farnesyl diphosphate[c] => diphosphate[c] + geranylgeranyl diphosphate[c]
PSY	phytoene synthase	0.087971287081237	CarRP	geranylgeranyl diphosphate[lp] => 2 diphosphate[lp] + phytoene[lp]
CRTI	phytoene dehydrogenase (lumped)	0.087971287081237	CarB	phytoene[lp] + 4 NAD[lp] => lycopene[lp] + 4 NADH[lp]
LYCOPC	lycopene cyclase (lumped);	0.087971287081237	CarRP	lycopene[lp] => beta-carotene[lp]
355	dimethylallyltranstransferase	0.0846710893282611	YALI0E05753g	isopentenyl diphosphate[c] + prenyl diphosphate[c] => diphosphate[c] + geranyl diphosphate[c]
462	geranyltranstransferase	0.0846710893282611	YALI0E05753g	isopentenyl diphosphate[c] + geranyl diphosphate[c] => diphosphate[c] + farnesyl diphosphate[c]
667	isopentenyl-diphosphate D-isomerase	0.0846710893282611	YALI0F04015g	isopentenyl diphosphate[c] <=> prenyl diphosphate[c]
1084	UTP-glucose-1-phosphate uridylyltransferase	0.0726575672291109	YALI0A02310g	H+_p+1[c] + UTP[c] + D-glucose 1-phosphate[c] <=> UDP-D-glucose[c] + diphosphate[c]
