rxn_IDs	rxnNames	slope	grRules	rxn_formula
217	aspartate transaminase	0.261106544777726	YALI0B02178g or YALI0F29337g	2-oxoglutarate[m] + L-aspartate[m] <=> L-glutamate[m] + oxaloacetate[m]
300	citrate synthase	0.249349047691887	YALI0E00638g or YALI0E02684g	H2O[m] + acetyl-CoA[m] + oxaloacetate[m] => H+_p+1[m] + citrate[m] + coenzyme A[m]
466	glucose 6-phosphate dehydrogenase	0.169981768468953	YALI0E22649g	D-glucose 6-phosphate[c] + NADP(+)[c] => H+_p+1[c] + 6-O-phosphono-D-glucono-1,5-lactone[c] + NADPH[c]
889	phosphogluconate dehydrogenase	0.169981768468953	YALI0B15598g	6-phospho-D-gluconate[c] + NADP(+)[c] => NADPH[c] + carbon dioxide[c] + D-ribulose 5-phosphate[c]
91	6-phosphogluconolactonase	0.169981768468953	YALI0C19085g or YALI0E11671g	6-O-phosphono-D-glucono-1,5-lactone[c] + H2O[c] => H+_p+1[c] + 6-phospho-D-gluconate[c]
984	ribulose 5-phosphate 3-epimerase	0.12140791879437	YALI0C11880g	D-ribulose 5-phosphate[c] <=> D-xylulose 5-phosphate[c]
962	pyruvate kinase	0.115988452060601	YALI0F09185g	H+_p+1[c] + phosphoenolpyruvate[c] + ADP[c] => pyruvate[c] + ATP[c]
366	enolase	0.107985285643392	YALI0F16819g	2-phospho-D-glyceric acid[c] <=> phosphoenolpyruvate[c] + H2O[c]
893	phosphoglycerate mutase	0.107985285643392	YALI0B02728g	3-phosphoglycerate[c] <=> 2-phospho-D-glyceric acid[c]
569	inorganic diphosphatase	0.0914569770401111	YALI0C11803g or YALI0F13541g	diphosphate[m] + H2O[m] => H+_p+1[m] + 2 phosphate[m]
486	glyceraldehyde-3-phosphate dehydrogenase	0.0843172664794853	YALI0C06369g	NAD[c] + phosphate[c] + glyceraldehyde 3-phosphate[c] <=> H+_p+1[c] + NADH[c] + 1,3-bisphospho-D-glycerate[c]
892	phosphoglycerate kinase	0.0843172664794853	YALI0D12400g	ADP[c] + 1,3-bisphospho-D-glycerate[c] <=> ATP[c] + 3-phosphoglycerate[c]
